year,rows,zips,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2000,33300,33300,0,32236,1064,10.0125529870189,5.05594017094017,10.0043755581069,14.7275,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2000.csv.gz
2001,33300,33300,0,32236,1064,10.7583302747678,4.27997335984096,11,15.0700418853152,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2001.csv.gz
2002,33300,33300,0,32236,1064,10.9180002626043,5,11,20,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2002.csv.gz
2003,33300,33300,0,32236,1064,10.5837804572552,5.25,10.6666666666667,18,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2003.csv.gz
2004,33300,33300,0,32236,1064,10.0397327542539,5,10.03125,15.2049868938401,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2004.csv.gz
2005,33300,33300,0,32236,1064,10.6996452576508,5,10.8598245614035,16.8611363636364,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2005.csv.gz
2006,33300,33300,0,32236,1064,10.2630553924672,5,10.2857142857143,16.8184,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2006.csv.gz
2007,33300,33300,0,32236,1064,10.75215779656,5.14933435225033,10.9210526315789,20,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2007.csv.gz
2008,33300,33300,0,32236,1064,9.74847334881777,5.05384340659341,9.97619047619048,16.5,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2008.csv.gz
2009,33300,33300,0,32236,1064,8.87419176852249,5,8.98449162951701,15.2002222222223,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2009.csv.gz
2010,33300,33300,0,32236,1064,9.14082686560161,4.75952584531675,9.23076923076923,14.2501666666667,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2010.csv.gz
2011,33300,33300,0,32236,1064,9.17437997110176,5.02401538781452,9.2,16.3333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2011.csv.gz
2012,33300,33300,0,32236,1064,8.49501535943603,5,8.45454545454546,15,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2012.csv.gz
2013,33300,33300,0,32236,1064,8.32805453949453,5.57845429383236,8.07255975263246,14.4829310344828,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2013.csv.gz
2014,33300,33300,0,32236,1064,8.15719297535673,4.96657060019692,8.02140947288006,15.7647511312217,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2014.csv.gz
2015,33300,33300,0,32236,1064,7.87421513088738,4.57071885776078,7.9802793621986,14.0589019607843,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2015.csv.gz
2016,33300,33300,0,32236,1064,7.34709701918824,4.41463066202091,7.09819390084801,13.7083928571429,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2016.csv.gz
2017,33300,33300,0,32236,1064,7.69583169391161,4.97259893455099,7.61737371528537,13.6667567567568,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2017.csv.gz
2018,33300,33300,0,32236,1064,7.68413306564177,5,7.66666666666667,13.3000546623794,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2018.csv.gz
2019,33300,33300,0,32236,1064,6.9109912007654,3.8583736437613,7,10.8780682926829,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2019.csv.gz
2020,33300,33300,0,32236,1064,6.88841044679064,4.03999473684211,6.67419986380661,13.1096917562724,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2020.csv.gz
2021,33300,33300,0,32236,1064,7.75690085184643,5,7.75064009189089,13.25,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_annual/lghap_pm25_zcta_annual_2021.csv.gz
