year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2016,1,1032300,33300,31,0,999316,32984,7.95669554080794,2.27272727272727,7.18518518518519,19.5500172413793,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_01.csv.gz
2016,2,965700,33300,29,0,934844,30856,7.17801690602816,2.0046507341121,6.82352941176471,17,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_02.csv.gz
2016,3,1032300,33300,31,0,999316,32984,7.21009985451624,2.06666666666667,6.72727272727273,16.7229040299128,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_03.csv.gz
2016,4,999000,33300,30,0,967080,31920,6.60635555957629,2.01058201058201,6.08264462809917,14.069773992794,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_04.csv.gz
2016,5,1032300,33300,31,0,999316,32984,7.25394828900966,2,6.81021897810219,16.9420317725753,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_05.csv.gz
2016,6,999000,33300,30,0,967080,31920,7.53166446911525,2,7.02690239867659,17.2,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_06.csv.gz
2016,7,1032300,33300,31,0,999316,32984,7.76712458934896,2,7.46539671020803,16.7804954268293,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_07.csv.gz
2016,8,1032300,33300,31,0,999316,32984,7.1899901065748,2.21817993079585,6.88405797101449,15.4929693454847,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_08.csv.gz
2016,9,999000,33300,30,0,967080,31920,6.89677524555936,1.77659515036253,6.23076923076923,16.4009523671721,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_09.csv.gz
2016,10,1032300,33300,31,0,999316,32984,6.78610292934493,1.62053035714286,6.30129167629168,14.7333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_10.csv.gz
2016,11,999000,33300,30,0,967080,31920,8.17779583680253,1.96774193548387,7.37037037037037,20.5714285714286,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_11.csv.gz
2016,12,1032300,33300,31,0,999316,32984,7.54484456069833,2.18443609958658,7,19.8235294117647,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2016_12.csv.gz
