year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2019,1,1032300,33300,31,0,1000680,31620,31.2441539483023,12.4374888216967,32.1823893724981,46.3095649181064,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_01.csv.gz
2019,2,932400,33300,28,0,903840,28560,35.3043738723146,12.9824915199848,36.081082408995,52.982608963699,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_02.csv.gz
2019,3,1032300,33300,31,0,1000680,31620,45.0953845995928,21.4430253301237,45.3260088054915,62.2434791883697,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_03.csv.gz
2019,4,999000,33300,30,0,968400,30600,45.9442660082161,26.2668328872187,46.0560707834797,62.8950054826632,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_04.csv.gz
2019,5,1032300,33300,31,0,1000680,31620,42.9634224776037,22.6374961238418,42.8717238625924,62.6833342673878,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_05.csv.gz
2019,6,999000,33300,30,0,968400,30600,44.3379501853422,20.1827558966328,44.4818933602983,68.7280067384128,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_06.csv.gz
2019,7,1032300,33300,31,0,1000680,31620,42.6937252794526,20.1788550754869,42.5592598934416,69.2581667664987,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_07.csv.gz
2019,8,1032300,33300,31,0,1000680,31620,41.0252844969288,19.0571416999346,40.9500006102026,67.1931888436079,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_08.csv.gz
2019,9,999000,33300,30,0,968400,30600,39.8898713834409,15.2999950331825,39.9230775179771,64.9600062311374,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_09.csv.gz
2019,10,1032300,33300,31,0,1000680,31620,33.2056627861035,11.7500001750886,32.5647063676049,59.2116667614821,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_10.csv.gz
2019,11,999000,33300,30,0,968400,30600,29.509554002964,9.92986650741354,28.9666670983036,50.8851900237851,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_11.csv.gz
2019,12,1032300,33300,31,0,1000680,31620,27.9188198732162,9.80000014603138,28.0536645487102,44.8044987054297,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/o3_zcta_daily/o3_zcta_daily_2019_12.csv.gz
