us_crs,min_raw_score,max_raw_score
1,-20,-13.225585601817667
2,-13.225585601817667,-13.016426574082168
3,-13.016426574082168,-12.867899350893978
4,-12.867899350893978,-12.753848965145817
5,-12.753848965145817,-12.64837502522877
6,-12.64837502522877,-12.549439313530016
7,-12.549439313530016,-12.46283336381633
8,-12.46283336381633,-12.38305528980663
9,-12.38305528980663,-12.304569407338427
10,-12.304569407338427,-12.229601473752846
11,-12.229601473752846,-12.160366920581666
12,-12.160366920581666,-12.094893551500245
13,-12.094893551500245,-12.03130884412979
14,-12.03130884412979,-11.965392555602275
15,-11.965392555602275,-11.906663481383056
16,-11.906663481383056,-11.844953222242559
17,-11.844953222242559,-11.784893892007986
18,-11.784893892007986,-11.725696364984223
19,-11.725696364984223,-11.668222147972731
20,-11.668222147972731,-11.610030624585459
21,-11.610030624585459,-11.55461834720608
22,-11.55461834720608,-11.495152418399165
23,-11.495152418399165,-11.435491224145974
24,-11.435491224145974,-11.376023920770734
25,-11.376023920770734,-11.312270449805492
26,-11.312270449805492,-11.250753228965577
27,-11.250753228965577,-11.187016855564199
28,-11.187016855564199,-11.122510445764973
29,-11.122510445764973,-11.05823035203086
30,-11.05823035203086,-10.987750439467398
31,-10.987750439467398,-10.917675319974883
32,-10.917675319974883,-10.846039627465629
33,-10.846039627465629,-10.770041133165176
34,-10.770041133165176,-10.687007716186125
35,-10.687007716186125,-10.606512375417637
36,-10.606512375417637,-10.530799293562534
37,-10.530799293562534,-10.457646459529421
38,-10.457646459529421,-10.373058490415179
39,-10.373058490415179,-10.285259634810384
40,-10.285259634810384,-10.188048970168298
41,-10.188048970168298,-10.082403447635471
42,-10.082403447635471,-9.965244474957515
43,-9.965244474957515,-9.840228374170307
44,-9.840228374170307,-9.69751730996088
45,-9.69751730996088,-9.545107952276057
46,-9.545107952276057,-9.364209146955748
47,-9.364209146955748,-9.144087623926612
48,-9.144087623926612,-8.856810444126662
49,-8.856810444126662,-8.417329494571923
50,-8.417329494571923,0
