year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2005,1,1032300,33300,31,0,999316,32984,9.07385644402987,2,8.27075579442392,23.7517109461967,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_01.csv.gz
2005,2,932400,33300,28,0,902608,29792,9.93705614049341,1.95238095238095,9.25,23.5714285714286,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_02.csv.gz
2005,3,1032300,33300,31,0,999316,32984,8.89692148139107,2,8.13582576286979,20.7872719849246,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_03.csv.gz
2005,4,999000,33300,30,0,967080,31920,8.82480251550132,1.62295069678276,8,22.9965873766258,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_04.csv.gz
2005,5,1032300,33300,31,0,999316,32984,9.82781748206382,1.60128521665901,8.93670886075949,24.1965814863103,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_05.csv.gz
2005,6,999000,33300,30,0,967080,31920,12.9708107429144,2.17842703262932,11.5142857142857,37.4751788951436,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_06.csv.gz
2005,7,1032300,33300,31,0,999316,32984,13.3319882296927,2.89772699260477,12.5,31.2187576219512,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_07.csv.gz
2005,8,1032300,33300,31,0,999316,32984,13.9719564020303,2.92481203007519,12.6602857666239,34.5,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_08.csv.gz
2005,9,999000,33300,30,0,967080,31920,12.9209795862754,2,11,38.5367316547467,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_09.csv.gz
2005,10,1032300,33300,31,0,999316,32984,9.78288607265702,1,8.92307692307692,25.3495194174757,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2005_10.csv.gz
