organ,organ_label,model_variant,exposure_window,exposure,exposure_label,endpoint,n,people,centers,adverse_events,transplant_or_improvement_censors,other_exit_censors,administrative_censors,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
HR,Heart,with_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.017066144816838,0.9703078298547532,1.066077703492746,0.4809867889140599,0.6393298209213714,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,with_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0197548112957648,0.9455773517440088,1.0997512506437312,0.6116746801380967,0.6394743756608663,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,with_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,0.9773415505859492,0.903169641311679,1.0576047542015583,0.5692543883542316,0.6394061214076691,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,with_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0196565869495289,0.9742352886807448,1.067195540327291,0.4024475626976835,0.6393134509988566,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,with_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.026022970663901,0.9481252418284782,1.1103207570972151,0.5236714011521582,0.6395415200888082,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,with_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,0.9803173279671458,0.9039045720914868,1.063189736156547,0.6311500904303705,0.6393606185722043,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0245755444143096,0.9775602196868703,1.073852050309631,0.31105640095061915,0.5458066501284207,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0297656525298131,0.9550111808512544,1.1103716065239608,0.4455752743147858,0.5460799445975233,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,0.984408834841224,0.9096029172239312,1.0653668054088787,0.6967618603917284,0.5460222336842508,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0270406414549778,0.9813682283113516,1.0748386271025676,0.25030328590461504,0.5457783495844121,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,1.0411281192109862,0.9623240781388972,1.1263853677111817,0.3155478559296261,0.5461937016861853,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,without_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,73636,68897,167,9822,54940,5527,3347,0.9887352875606767,0.9115981420821694,1.0723995845743792,0.784582084839286,0.5459947655091837,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9284282957910778,0.91674533529322,0.9402601434015716,1.4172086781599763e-30,0.6463339697620253,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_year,pm25,PM2.5 per 5 ug/m3,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9394996435747524,0.9206766396746808,0.9587074790873076,1.5055848554607986e-9,0.6460241791484456,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_year,o3,Ozone per 10 ppb,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,1.0654594122340395,1.046025598750583,1.0852542810367545,1.4685171151296514e-11,0.6464298633940772,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_prior_mean,no2,NO2 listing/prior-year mean per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9311074702908853,0.9197837138109264,0.9425706372201618,2.8407509767599773e-30,0.6463364810571427,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_prior_mean,pm25,PM2.5 listing/prior-year mean per 5 ug/m3,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9370967871652184,0.9175501924278002,0.9570597835000442,1.5332643879866255e-9,0.6460204225261603,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,with_organ_score,listing_prior_mean,o3,Ozone listing/prior-year mean per 10 ppb,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,1.0723882375791287,1.0523900332598617,1.0927664608679375,3.4221155778788845e-13,0.646474378680131,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,without_organ_score,listing_year,no2,NO2 per 10-unit increment,death_or_deterioration_delist_cause_specific,691612,560793,282,117243,349988,82632,141749,0.9303295538731626,0.9186204021840964,0.942187955712728,5.404572790756655e-29,0.6477750764651522,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
