organ,exposure_quartile,min_value,max_value,pollutant,quartile_label
Heart,Q1,0.233840116012244,4.84919106960297,NO2,Q1 (0.2-4.8 units)
Heart,Q2,4.84935953812813,7.67002331359046,NO2,Q2 (4.8-7.7 units)
Heart,Q3,7.67032318152199,11.9435171920442,NO2,Q3 (7.7-11.9 units)
Heart,Q4,11.9437105023131,51.1443290710449,NO2,Q4 (11.9-51.1 units)
Kidney,Q1,0.19122242089361,5.28988566458654,NO2,Q1 (0.2-5.3 units)
Kidney,Q2,5.28988629677257,8.70357090527894,NO2,Q2 (5.3-8.7 units)
Kidney,Q3,8.70357090527894,13.5761510225443,NO2,Q3 (8.7-13.6 units)
Kidney,Q4,13.5761510225443,52.2752151489258,NO2,Q4 (13.6-52.3 units)
Liver,Q1,0.188898659078404,4.87432332699116,NO2,Q1 (0.2-4.9 units)
Liver,Q2,4.87434576669682,7.90484009385109,NO2,Q2 (4.9-7.9 units)
Liver,Q3,7.9048927081952,12.5143582026164,NO2,Q3 (7.9-12.5 units)
Liver,Q4,12.5143582026164,51.1499290466309,NO2,Q4 (12.5-51.1 units)
Lung,Q1,0.19122242089361,4.73793746524004,NO2,Q1 (0.2-4.7 units)
Lung,Q2,4.73855557161219,7.42914925199567,NO2,Q2 (4.7-7.4 units)
Lung,Q3,7.42953676569093,11.363843119586,NO2,Q3 (7.4-11.4 units)
Lung,Q4,11.363843119586,51.1499290466309,NO2,Q4 (11.4-51.1 units)
