organ,exposure_quartile,min_value,max_value,pollutant,quartile_label
Heart,Q1,24.05848757425944,36.38929348332541,Ozone,Q1 (24.1-36.4 ppb)
Heart,Q2,36.38929348332541,38.088097799391974,Ozone,Q2 (36.4-38.1 ppb)
Heart,Q3,38.088097799391974,40.248315239070216,Ozone,Q3 (38.1-40.2 ppb)
Heart,Q4,40.24856433151949,57.35702352997261,Ozone,Q4 (40.2-57.4 ppb)
Kidney,Q1,23.024419844150557,36.13757442028571,Ozone,Q1 (23-36.1 ppb)
Kidney,Q2,36.137577291775834,38.07726185998798,Ozone,Q2 (36.1-38.1 ppb)
Kidney,Q3,38.07726185998798,40.59348055895637,Ozone,Q3 (38.1-40.6 ppb)
Kidney,Q4,40.59348055895637,58.0891342163086,Ozone,Q4 (40.6-58.1 ppb)
Liver,Q1,23.024419844150557,36.40123929341634,Ozone,Q1 (23-36.4 ppb)
Liver,Q2,36.40123929341634,38.19688093871401,Ozone,Q2 (36.4-38.2 ppb)
Liver,Q3,38.19690281305557,40.71031404796401,Ozone,Q3 (38.2-40.7 ppb)
Liver,Q4,40.710460019490085,58.0891342163086,Ozone,Q4 (40.7-58.1 ppb)
Lung,Q1,22.862168815400857,36.58701753068245,Ozone,Q1 (22.9-36.6 ppb)
Lung,Q2,36.58758995027255,38.19450109498994,Ozone,Q2 (36.6-38.2 ppb)
Lung,Q3,38.19462723876492,40.37601461589617,Ozone,Q3 (38.2-40.4 ppb)
Lung,Q4,40.376057004849514,57.41553692878047,Ozone,Q4 (40.4-57.4 ppb)
