year,raw_zips,filled_zips,pollutant,added
2005,399600,399600,pm25,0
2006,399600,399600,pm25,0
2007,399600,399600,pm25,0
2008,399600,399600,pm25,0
2009,399600,399600,pm25,0
2010,399600,399600,pm25,0
2011,399600,399600,pm25,0
2012,399600,399600,pm25,0
2013,399600,399600,pm25,0
2014,399600,399600,pm25,0
2015,399600,399600,pm25,0
2016,399600,399600,pm25,0
2017,399600,399600,pm25,0
2018,399600,399600,pm25,0
2019,399600,399600,pm25,0
2020,399600,399600,pm25,0
2021,399600,399600,pm25,0
2022,399600,399600,pm25,0
2023,399600,399600,pm25,0
2005,399600,399600,o3,0
2006,399600,399600,o3,0
2007,399600,399600,o3,0
2008,399600,399600,o3,0
2009,399600,399600,o3,0
2010,399600,399600,o3,0
2011,399600,399600,o3,0
2012,399600,399600,o3,0
2013,399600,399600,o3,0
2014,399600,399600,o3,0
2015,399600,399600,o3,0
2016,399600,399600,o3,0
2017,399600,399600,o3,0
2018,399600,399600,o3,0
2019,399600,399600,o3,0
2020,399600,399600,o3,0
2021,399600,399600,o3,0
2022,399600,399600,o3,0
2023,399600,399600,o3,0
2005,33300,33300,no2,0
2006,33300,33300,no2,0
2007,33300,33300,no2,0
2008,33300,33300,no2,0
2009,33300,33300,no2,0
2010,33300,33300,no2,0
2011,33300,33300,no2,0
2012,33300,33300,no2,0
2013,33300,33300,no2,0
2014,33300,33300,no2,0
2015,33300,33300,no2,0
2016,33300,33300,no2,0
2017,33300,33300,no2,0
2018,33300,33300,no2,0
2019,33300,33300,no2,0
2020,33300,33300,no2,0
2021,33300,33300,no2,0
2022,33300,33300,no2,0
2023,33300,33300,no2,0
2024,33300,33300,no2,0
