id,label
eligible,"SRTR waitlist registrations assessed for eligibility
Heart, kidney, liver, or lung; 2005-2025
N = 1,209,138"
zcta,"Included registrations with residential ZCTA
N = 1,205,885"
episodes,"Deduplicated candidate-organ episodes
N = 1,017,540"
organ_Heart,"Heart
Candidates: 83,624"
organ_Kidney,"Kidney
Candidates: 643,225"
organ_Liver,"Liver
Candidates: 238,078"
organ_Lung,"Lung
Candidates: 52,613"
outcome_Heart,"Adverse events:
10,957
Transplant/improvement:
64,921
Median waitlist:
89 days"
outcome_Kidney,"Adverse events:
135,003
Transplant/improvement:
368,483
Median waitlist:
702 days"
outcome_Liver,"Adverse events:
46,526
Transplant/improvement:
166,103
Median waitlist:
137 days"
outcome_Lung,"Adverse events:
6,019
Transplant/improvement:
43,727
Median waitlist:
57 days"
missing_zcta,"Excluded
Missing residential ZCTA
n = 3,253"
duplicate_registrations,"Excluded
Duplicate same-candidate,
same-organ registration rows
n = 188,345
Heart: 5,892
Kidney: 152,470
Liver: 26,203
Lung: 3,780"
