time_days,years_since_listing,cumulative_incidence,quartile,event,pollutant,quartile_group,quartile_label
0,0,0,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
30.4375,0.08333333333333333,0.008406068847904416,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
60.875,0.16666666666666666,0.0123090177817142,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
91.3125,0.25,0.015427550062363694,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
121.75,0.3333333333333333,0.017685198216908404,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
152.1875,0.4166666666666667,0.019707917278977305,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
182.625,0.5,0.021393710933327488,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
213.0625,0.5833333333333334,0.022985000652400285,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
243.5,0.6666666666666666,0.024406439718744514,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
273.9375,0.75,0.025830853356212054,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
304.375,0.8333333333333334,0.02730754539780245,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
334.8125,0.9166666666666666,0.028674693724817547,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
365.25,1,0.030045063281005778,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
395.6875,1.0833333333333333,0.031365687310497534,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
426.125,1.1666666666666667,0.03267533321191918,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
456.5625,1.25,0.03394872769284001,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
487,1.3333333333333333,0.03514813931183133,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
517.4375,1.4166666666666667,0.0363878886842312,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
547.875,1.5,0.03759068116428821,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
578.3125,1.5833333333333333,0.03874981311710682,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
608.75,1.6666666666666667,0.039906915452553385,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
639.1875,1.75,0.041227351606071855,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
669.625,1.8333333333333333,0.042430985970904805,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
700.0625,1.9166666666666667,0.04369664977037058,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
730.5,2,0.044920932807707925,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
760.9375,2.0833333333333335,0.046167464651804754,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
791.375,2.1666666666666665,0.04743844294164713,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
821.8125,2.25,0.04862346886980669,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
852.25,2.3333333333333335,0.049891432780196573,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
882.6875,2.4166666666666665,0.05115120621604448,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
913.125,2.5,0.0524401104687177,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
943.5625,2.5833333333333335,0.05385209394897646,1,Waitlist death,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
