window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031822400,11.7734574662286,1826,0,0
2010-2014,pm25,17031740100,12.2382256297919,1826,0,1826
2010-2014,pm25,17031530501,11.0364184008762,1826,0,0
2010-2014,pm25,17031830300,11.8398138006572,1826,0,0
2010-2014,pm25,17031750300,11.8477546549836,1826,0,0
2010-2014,pm25,17031826303,10.9956188389923,1826,0,0
2010-2014,pm25,17031826500,11.3530120481928,1826,0,0
2010-2014,pm25,17031827801,11.4470974808324,1826,0,0
2010-2014,pm25,17031825900,11.6522453450164,1826,0,0
2010-2014,pm25,17031822601,11.2962760131435,1826,0,1826
2010-2014,pm25,17031819900,12.5561336254107,1826,0,0
2010-2014,pm25,17031500200,11.1978824388463,1826,0,0
2010-2014,pm25,17031491400,11.815991237678,1826,0,1826
2010-2014,pm25,17031817900,11.697152245345,1826,0,0
2010-2014,pm25,17031815800,12.4482475355969,1826,0,0
2010-2014,pm25,17031720300,11.4665936473165,1826,0,0
2010-2014,pm25,17031691400,11.1801752464403,1826,0,0
2010-2014,pm25,17031812801,11.4222343921139,1826,0,1826
2010-2014,pm25,17031811000,11.6593647316539,1826,0,0
2010-2014,pm25,17031670100,11.947426067908,1826,0,1826
2010-2014,pm25,17031640800,11.2146768893757,1826,0,1826
2010-2014,pm25,17031690400,11.3055859802848,1826,0,1826
2010-2014,pm25,17031671200,11.2519167579409,1826,0,0
2010-2014,pm25,17031580200,11.6144578313253,1826,0,0
2010-2014,pm25,17031560400,12.2705366922234,1826,0,1826
2010-2014,pm25,17031630300,11.1177437020811,1826,0,0
2010-2014,pm25,17031610400,12.5991237677985,1826,0,1826
2010-2014,pm25,17031440700,11.6489594742607,1826,0,0
2010-2014,pm25,17031491200,11.0941949616648,1826,0,1826
2010-2014,pm25,17031460200,11.4830230010953,1826,0,1826
2010-2014,pm25,17031350400,12.2743702081051,1826,0,1826
2010-2014,pm25,17031841200,11.0547645125958,1826,0,0
2010-2014,pm25,17031310400,11.9184008762322,1826,0,1826
2010-2014,pm25,17031840800,10.9879518072289,1826,0,1826
2010-2014,pm25,17031420300,11.3253012048193,1826,0,1826
2010-2014,pm25,17031400500,11.3932092004381,1826,0,1826
2010-2014,pm25,17031381500,11.3663745892662,1826,0,1826
2010-2014,pm25,17031260900,11.5060240963855,1826,0,1826
2010-2014,pm25,17031300800,10.9879518072289,1826,0,1826
2010-2014,pm25,17031291200,11.5810514786418,1826,0,0
2010-2014,pm25,17031807900,11.8017524644031,1826,0,0
2010-2014,pm25,17031811600,12.4561883899233,1826,0,0
2010-2014,pm25,17031810000,11.5985761226725,1826,0,0
2010-2014,pm25,17031806201,11.9162102957284,1826,0,0
