time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.08089802668247505,0.6903503893085093,2922,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,8.089802668247504,69.03503893085093
3,0.10258956132266661,0.7996165201162676,839,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,10.258956132266661,79.96165201162675
5,0.11415640946703653,0.8339494716070524,341,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,11.415640946703654,83.39494716070523
10,0.12137347579905164,0.8620724163645096,63,quartile=Q1 lowest,Q1 lowest,no2,NO[2],No durable LVAD,12.137347579905164,86.20724163645096
1,0.09984571041429802,0.6432345551867605,4103,quartile=Q2,Q2,no2,NO[2],No durable LVAD,9.984571041429803,64.32345551867606
3,0.12734038945373347,0.7636518948892937,1430,quartile=Q2,Q2,no2,NO[2],No durable LVAD,12.734038945373346,76.36518948892937
5,0.13878508873635662,0.7987244617331762,698,quartile=Q2,Q2,no2,NO[2],No durable LVAD,13.878508873635662,79.87244617331763
10,0.14756820261061238,0.8335463628493585,165,quartile=Q2,Q2,no2,NO[2],No durable LVAD,14.756820261061238,83.35463628493585
1,0.10238453207728204,0.6463524822819485,4044,quartile=Q3,Q3,no2,NO[2],No durable LVAD,10.238453207728204,64.63524822819485
3,0.12985955181951106,0.7648764960045852,1447,quartile=Q3,Q3,no2,NO[2],No durable LVAD,12.985955181951105,76.48764960045852
5,0.1416970439936107,0.8008326900770957,677,quartile=Q3,Q3,no2,NO[2],No durable LVAD,14.169704399361068,80.08326900770956
10,0.14912192939471242,0.8338453125250737,153,quartile=Q3,Q3,no2,NO[2],No durable LVAD,14.912192939471241,83.38453125250737
1,0.1180531782122948,0.646215860373481,3877,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,11.80531782122948,64.6215860373481
3,0.14635434603905592,0.7574130688622839,1413,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,14.635434603905592,75.74130688622839
5,0.1573117372412925,0.7892283497036722,709,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,15.731173724129249,78.92283497036722
10,0.16523074835529875,0.818034897369709,174,quartile=Q4 highest,Q4 highest,no2,NO[2],No durable LVAD,16.523074835529876,81.8034897369709
