pollutant,pollutant_label,subgroup,quartile,n,adverse_events,competing_events,censored,median_exposure
no2,NO[2],No durable LVAD,Q1 lowest,17588,1658,12973,2957,2.54648770012171
no2,NO[2],No durable LVAD,Q2,17344,2299,13478,1567,5.044621523314122
no2,NO[2],No durable LVAD,Q3,17342,2382,13544,1416,8.19136452151598
no2,NO[2],No durable LVAD,Q4 highest,17677,2638,13779,1260,14.055525652222434
no2,NO[2],Durable LVAD,Q1 lowest,3637,300,2227,1110,2.656396321346932
no2,NO[2],Durable LVAD,Q2,3880,442,2801,637,5.062766005950552
no2,NO[2],Durable LVAD,Q3,3882,497,2937,448,8.14294782531596
no2,NO[2],Durable LVAD,Q4 highest,3547,456,2735,356,13.923998400569
o3,O[3],No durable LVAD,Q1 lowest,14647,2007,11181,1459,35.059222169084286
o3,O[3],No durable LVAD,Q2,14439,2116,10782,1541,37.44627491301959
o3,O[3],No durable LVAD,Q3,14808,2039,11025,1744,38.99849156525467
o3,O[3],No durable LVAD,Q4 highest,16116,2058,12375,1683,42.86986603117252
o3,O[3],Durable LVAD,Q1 lowest,3682,425,2795,462,35.117046432361576
o3,O[3],Durable LVAD,Q2,3887,493,2746,648,37.47130148524331
o3,O[3],Durable LVAD,Q3,3519,422,2408,689,38.90675414273527
o3,O[3],Durable LVAD,Q4 highest,2212,225,1600,387,42.2692567990329
pm25,PM[2.5],No durable LVAD,Q1 lowest,14604,1839,11373,1392,6.424224485276115
pm25,PM[2.5],No durable LVAD,Q2,14682,1923,11115,1644,7.591468609808651
pm25,PM[2.5],No durable LVAD,Q3,14773,2085,10885,1803,8.771816890159634
pm25,PM[2.5],No durable LVAD,Q4 highest,15951,2373,11990,1588,10.741052976776578
pm25,PM[2.5],Durable LVAD,Q1 lowest,3724,440,2833,451,6.422505668912643
pm25,PM[2.5],Durable LVAD,Q2,3645,411,2590,644,7.585764407658305
pm25,PM[2.5],Durable LVAD,Q3,3555,416,2441,698,8.727710693008595
pm25,PM[2.5],Durable LVAD,Q4 highest,2376,298,1685,393,10.350433600256968
