time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,subgroup,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.03478722982713936,0.2978028462945178,27289,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,3.478722982713936,29.78028462945178
3,0.09887542797423714,0.521098343587267,9066,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,9.887542797423714,52.1098343587267
5,0.14630359390888123,0.6402920437538389,3043,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,14.630359390888122,64.02920437538388
10,0.19742800626377113,0.7508427658653034,223,quartile=Q1 lowest,Q1 lowest,no2,NO[2],Not on dialysis,19.742800626377115,75.08427658653034
1,0.03605214879659322,0.34893342316529685,27614,quartile=Q2,Q2,no2,NO[2],Not on dialysis,3.605214879659322,34.89334231652968
3,0.09131919315973938,0.5868415053176018,11176,quartile=Q2,Q2,no2,NO[2],Not on dialysis,9.131919315973938,58.68415053176018
5,0.1341196992682392,0.6987356130184328,4107,quartile=Q2,Q2,no2,NO[2],Not on dialysis,13.411969926823918,69.87356130184328
10,0.17443045731445553,0.7876900709360276,360,quartile=Q2,Q2,no2,NO[2],Not on dialysis,17.443045731445554,78.76900709360277
1,0.03926908736495574,0.3514348336062346,25549,quartile=Q3,Q3,no2,NO[2],Not on dialysis,3.926908736495574,35.14348336062346
3,0.09483899458530183,0.5900194712337894,11333,quartile=Q3,Q3,no2,NO[2],Not on dialysis,9.483899458530184,59.00194712337894
5,0.1359855425613867,0.7019974694213464,4494,quartile=Q3,Q3,no2,NO[2],Not on dialysis,13.59855425613867,70.19974694213464
10,0.17399393453209497,0.7898670761795846,400,quartile=Q3,Q3,no2,NO[2],Not on dialysis,17.3993934532095,78.98670761795846
1,0.043757235505111805,0.34601465347413973,22437,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,4.3757235505111804,34.60146534741397
3,0.10502536514431839,0.5828014409953242,10353,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,10.502536514431839,58.280144099532414
5,0.15345571504323657,0.6950780374563247,4247,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,15.345571504323658,69.50780374563247
10,0.19827000633368885,0.7758731047202699,376,quartile=Q4 highest,Q4 highest,no2,NO[2],Not on dialysis,19.827000633368886,77.587310472027
1,0.04444642616644419,0.33031188350921553,23539,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,4.444642616644419,33.03118835092155
3,0.10656462756983606,0.5584195560508339,10404,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,10.656462756983606,55.84195560508339
5,0.15670953193562367,0.6652269101883527,4215,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,15.670953193562367,66.52269101883526
10,0.20901875939138803,0.752211186162312,333,quartile=Q1 lowest,Q1 lowest,o3,O[3],Not on dialysis,20.901875939138804,75.2211186162312
1,0.0374600673026382,0.33650465198145696,23398,quartile=Q2,Q2,o3,O[3],Not on dialysis,3.74600673026382,33.650465198145696
3,0.0963551936846407,0.5706048255674793,10000,quartile=Q2,Q2,o3,O[3],Not on dialysis,9.63551936846407,57.06048255674793
5,0.14137206295964705,0.6826716908621131,3678,quartile=Q2,Q2,o3,O[3],Not on dialysis,14.137206295964704,68.26716908621131
