pollutant,pollutant_label,subgroup,quartile,n,adverse_events,competing_events,censored,median_exposure
no2,NO[2],Not on dialysis,Q1 lowest,62311,6490,26990,28831,2.6113375968673598
no2,NO[2],Not on dialysis,Q2,59055,9174,37868,12013,5.303680841313027
no2,NO[2],Not on dialysis,Q3,55822,9624,37957,8241,8.869047088602924
no2,NO[2],Not on dialysis,Q4 highest,46324,9520,31941,4863,14.85896673973728
no2,NO[2],Dialysis <1 year,Q1 lowest,38393,6346,18553,13494,2.738208434336423
no2,NO[2],Dialysis <1 year,Q2,44186,10215,26511,7460,5.321179895866187
no2,NO[2],Dialysis <1 year,Q3,44425,10779,27818,5828,8.945925903834887
no2,NO[2],Dialysis <1 year,Q4 highest,46435,12554,28479,5402,15.198551493081023
no2,NO[2],Dialysis 1 to <3 years,Q1 lowest,37505,6814,15408,15283,2.64560439863669
no2,NO[2],Dialysis 1 to <3 years,Q2,36078,9393,18983,7702,5.305158542182191
no2,NO[2],Dialysis 1 to <3 years,Q3,36949,10207,20417,6325,8.937063191166276
no2,NO[2],Dialysis 1 to <3 years,Q4 highest,40016,12556,21588,5872,15.082289310024128
no2,NO[2],Dialysis 3 to <5 years,Q1 lowest,10386,1594,4950,3842,2.581068739375105
no2,NO[2],Dialysis 3 to <5 years,Q2,9609,2396,5499,1714,5.34682490359504
no2,NO[2],Dialysis 3 to <5 years,Q3,10401,2502,6279,1620,9.023605534227665
no2,NO[2],Dialysis 3 to <5 years,Q4 highest,12118,3754,6615,1749,15.239251148160553
no2,NO[2],Dialysis ≥5 years,Q1 lowest,8344,1025,5324,1995,2.5625849624375028
no2,NO[2],Dialysis ≥5 years,Q2,8011,1542,5311,1158,5.357127317875732
no2,NO[2],Dialysis ≥5 years,Q3,9341,1854,6325,1162,9.003797044066918
no2,NO[2],Dialysis ≥5 years,Q4 highest,12046,3158,7354,1534,15.461284345306757
o3,O[3],Not on dialysis,Q1 lowest,48565,8675,28872,11018,34.63801537235995
o3,O[3],Not on dialysis,Q2,52627,8107,31913,12607,37.428341923077326
o3,O[3],Not on dialysis,Q3,49517,6998,27548,14971,38.97976044048419
o3,O[3],Not on dialysis,Q4 highest,42501,5695,24556,12250,43.03201944134406
o3,O[3],Dialysis <1 year,Q1 lowest,40348,10079,22493,7776,34.4292780075863
o3,O[3],Dialysis <1 year,Q2,38857,8714,22583,7560,37.43483042856917
o3,O[3],Dialysis <1 year,Q3,39191,8630,21087,9474,39.003353738551006
o3,O[3],Dialysis <1 year,Q4 highest,40068,8750,22079,9239,43.09377786009252
o3,O[3],Dialysis 1 to <3 years,Q1 lowest,31630,9006,16101,6523,34.591613003476496
o3,O[3],Dialysis 1 to <3 years,Q2,31375,8176,16047,7152,37.43341671978986
o3,O[3],Dialysis 1 to <3 years,Q3,33304,8435,15358,9511,39.04886391978111
o3,O[3],Dialysis 1 to <3 years,Q4 highest,37126,9000,16996,11130,43.116930181073315
o3,O[3],Dialysis 3 to <5 years,Q1 lowest,9425,2610,5064,1751,34.54202552984251
o3,O[3],Dialysis 3 to <5 years,Q2,8464,1954,4844,1666,37.40721266419838
o3,O[3],Dialysis 3 to <5 years,Q3,8886,2071,4605,2210,39.05975056046198
o3,O[3],Dialysis 3 to <5 years,Q4 highest,10156,2467,4880,2809,43.1283522469722
o3,O[3],Dialysis ≥5 years,Q1 lowest,8726,2026,5458,1242,34.498166543535525
o3,O[3],Dialysis ≥5 years,Q2,7371,1390,4750,1231,37.410165696858606
o3,O[3],Dialysis ≥5 years,Q3,7795,1593,4618,1584,39.05152614206542
o3,O[3],Dialysis ≥5 years,Q4 highest,8843,1891,5180,1772,43.13239389066592
pm25,PM[2.5],Not on dialysis,Q1 lowest,54829,8262,34612,11955,6.573168093684964
pm25,PM[2.5],Not on dialysis,Q2,51017,7482,28650,14885,7.830227175942895
pm25,PM[2.5],Not on dialysis,Q3,47484,7442,25589,14453,8.969546467044053
pm25,PM[2.5],Not on dialysis,Q4 highest,39880,6289,24038,9553,10.811962888920288
pm25,PM[2.5],Dialysis <1 year,Q1 lowest,37789,8103,22847,6839,6.621606812287717
pm25,PM[2.5],Dialysis <1 year,Q2,39016,8345,21209,9462,7.83368616896172
pm25,PM[2.5],Dialysis <1 year,Q3,41009,9528,21288,10193,9.00129973221958
pm25,PM[2.5],Dialysis <1 year,Q4 highest,40650,10197,22898,7555,10.957440628919485
pm25,PM[2.5],Dialysis 1 to <3 years,Q1 lowest,30953,7769,16800,6384,6.6444439136865
pm25,PM[2.5],Dialysis 1 to <3 years,Q2,32562,7816,15736,9010,7.83736105338659
pm25,PM[2.5],Dialysis 1 to <3 years,Q3,33064,8597,14763,9704,9.001406743123873
pm25,PM[2.5],Dialysis 1 to <3 years,Q4 highest,36856,10435,17203,9218,11.084014062233573
pm25,PM[2.5],Dialysis 3 to <5 years,Q1 lowest,8339,1764,5132,1443,6.642601910972189
pm25,PM[2.5],Dialysis 3 to <5 years,Q2,8651,1928,4686,2037,7.837906038755514
pm25,PM[2.5],Dialysis 3 to <5 years,Q3,8977,2285,4372,2320,8.996386415163677
pm25,PM[2.5],Dialysis 3 to <5 years,Q4 highest,10964,3125,5203,2636,11.10945456905807
pm25,PM[2.5],Dialysis ≥5 years,Q1 lowest,6784,1070,4848,866,6.629279617607436
pm25,PM[2.5],Dialysis ≥5 years,Q2,7448,1309,4765,1374,7.84006234837903
pm25,PM[2.5],Dialysis ≥5 years,Q3,8162,1829,4677,1656,9.014155798064976
pm25,PM[2.5],Dialysis ≥5 years,Q4 highest,10341,2692,5716,1933,11.16583352574563
