pollutant,pollutant_label,subgroup,quartile,n,adverse_events,competing_events,censored,median_exposure
no2,NO[2],No durable LVAD,Q1 lowest,16715,1662,13150,1903,2.7885875756488616
no2,NO[2],No durable LVAD,Q2,16418,2029,12870,1519,4.897611893872323
no2,NO[2],No durable LVAD,Q3,16400,2316,12819,1265,7.955393062720127
no2,NO[2],No durable LVAD,Q4 highest,16634,2671,13009,954,14.267267106189454
no2,NO[2],Durable LVAD,Q1 lowest,3153,293,2202,658,2.8129297296211244
no2,NO[2],Durable LVAD,Q2,3449,384,2481,584,4.917819386386824
no2,NO[2],Durable LVAD,Q3,3467,455,2624,388,7.908523132147375
no2,NO[2],Durable LVAD,Q4 highest,3233,442,2537,254,14.07997811812068
o3,O[3],No durable LVAD,Q1 lowest,14908,2168,11638,1102,34.490958890403384
o3,O[3],No durable LVAD,Q2,15003,2048,11823,1132,37.02136162411017
o3,O[3],No durable LVAD,Q3,15257,2114,12101,1042,38.77777323714609
o3,O[3],No durable LVAD,Q4 highest,16300,2127,13208,965,42.974102446092544
o3,O[3],Durable LVAD,Q1 lowest,3621,464,2810,347,34.521958173196836
o3,O[3],Durable LVAD,Q2,3525,422,2631,472,36.98613449329769
o3,O[3],Durable LVAD,Q3,3271,420,2409,442,38.762406771768056
o3,O[3],Durable LVAD,Q4 highest,2229,257,1742,230,42.26859514305398
pm25,PM[2.5],No durable LVAD,Q1 lowest,14987,1683,12112,1192,6.513363850647355
pm25,PM[2.5],No durable LVAD,Q2,14982,1902,11965,1115,7.907899291586066
pm25,PM[2.5],No durable LVAD,Q3,15200,2228,11913,1059,9.137828069551212
pm25,PM[2.5],No durable LVAD,Q4 highest,16299,2644,12780,875,11.398630136986302
pm25,PM[2.5],Durable LVAD,Q1 lowest,3542,375,2740,427,6.517131589871315
pm25,PM[2.5],Durable LVAD,Q2,3546,454,2607,485,7.923908399408063
pm25,PM[2.5],Durable LVAD,Q3,3328,404,2531,393,9.113636544608035
pm25,PM[2.5],Durable LVAD,Q4 highest,2230,330,1714,186,11.032650781437972
