pollutant,pollutant_label,subgroup,quartile,n,adverse_events,competing_events,censored,median_exposure
no2,NO[2],Not on dialysis,Q1 lowest,59011,7003,30633,21375,2.9406197165017813
no2,NO[2],Not on dialysis,Q2,57496,7939,34132,15425,5.386912572930372
no2,NO[2],Not on dialysis,Q3,54541,8778,34978,10785,9.097228633047063
no2,NO[2],Not on dialysis,Q4 highest,45521,9712,30007,5802,15.85656256464373
no2,NO[2],Dialysis <1 year,Q1 lowest,37684,6735,20525,10424,3.0165436295631842
no2,NO[2],Dialysis <1 year,Q2,40365,8572,23395,8398,5.400825638065293
no2,NO[2],Dialysis <1 year,Q3,41675,9732,25252,6691,9.169474904976301
no2,NO[2],Dialysis <1 year,Q4 highest,44987,12455,26705,5827,16.272802001744118
no2,NO[2],Dialysis 1 to <3 years,Q1 lowest,35631,7284,17060,11287,2.951322728020131
no2,NO[2],Dialysis 1 to <3 years,Q2,34575,8101,17579,8895,5.385160554360927
no2,NO[2],Dialysis 1 to <3 years,Q3,35084,9266,18310,7508,9.189368510030594
no2,NO[2],Dialysis 1 to <3 years,Q4 highest,38046,12048,19425,6573,16.16654719475708
no2,NO[2],Dialysis 3 to <5 years,Q1 lowest,9830,1764,5522,2544,2.939980073281207
no2,NO[2],Dialysis 3 to <5 years,Q2,9525,1976,5393,2156,5.406557444595312
no2,NO[2],Dialysis 3 to <5 years,Q3,9952,2332,5640,1980,9.2436087511036
no2,NO[2],Dialysis 3 to <5 years,Q4 highest,10964,3428,5625,1911,16.199345099637977
no2,NO[2],Dialysis ≥5 years,Q1 lowest,8021,1068,5680,1273,2.9730387220615433
no2,NO[2],Dialysis ≥5 years,Q2,8216,1277,5592,1347,5.4424602402482805
no2,NO[2],Dialysis ≥5 years,Q3,8925,1690,5918,1317,9.200027353450706
no2,NO[2],Dialysis ≥5 years,Q4 highest,10659,2905,6136,1618,16.404508185817775
o3,O[3],Not on dialysis,Q1 lowest,50314,9385,31524,9405,34.13115435474768
o3,O[3],Not on dialysis,Q2,54509,8693,34447,11369,36.868986425996845
o3,O[3],Not on dialysis,Q3,52601,7999,33074,11528,38.72739783735717
o3,O[3],Not on dialysis,Q4 highest,44209,7126,28350,8733,43.46532028238694
o3,O[3],Dialysis <1 year,Q1 lowest,40344,10352,23618,6374,33.92694869982241
o3,O[3],Dialysis <1 year,Q2,38115,8612,23269,6234,36.855507398504926
o3,O[3],Dialysis <1 year,Q3,38381,8612,23254,6515,38.781521598201465
o3,O[3],Dialysis <1 year,Q4 highest,40400,9782,23905,6713,43.47874747690462
o3,O[3],Dialysis 1 to <3 years,Q1 lowest,32619,9510,17240,5869,34.02661498844507
o3,O[3],Dialysis 1 to <3 years,Q2,31730,8183,17321,6226,36.85032049589486
o3,O[3],Dialysis 1 to <3 years,Q3,33539,8667,17556,7316,38.79651365407823
o3,O[3],Dialysis 1 to <3 years,Q4 highest,37195,10171,18578,8446,43.57712393702098
o3,O[3],Dialysis 3 to <5 years,Q1 lowest,9397,2674,5290,1433,34.01575393153177
o3,O[3],Dialysis 3 to <5 years,Q2,8972,2017,5482,1473,36.837914196781725
o3,O[3],Dialysis 3 to <5 years,Q3,8891,2078,5206,1607,38.80524030427053
o3,O[3],Dialysis 3 to <5 years,Q4 highest,10181,2666,5370,2145,43.65742202040929
o3,O[3],Dialysis ≥5 years,Q1 lowest,8508,2003,5446,1059,33.97299898416712
o3,O[3],Dialysis ≥5 years,Q2,7855,1341,5563,951,36.83391925535817
o3,O[3],Dialysis ≥5 years,Q3,7769,1445,5329,995,38.769733342142516
o3,O[3],Dialysis ≥5 years,Q4 highest,9196,2107,5606,1483,43.54250710733035
pm25,PM[2.5],Not on dialysis,Q1 lowest,61458,8820,37273,15365,6.549125650306678
pm25,PM[2.5],Not on dialysis,Q2,52372,8301,32811,11260,8.0397586431833
pm25,PM[2.5],Not on dialysis,Q3,47553,8292,30525,8736,9.372851805728516
pm25,PM[2.5],Not on dialysis,Q4 highest,40250,7790,26786,5674,11.70958904109589
pm25,PM[2.5],Dialysis <1 year,Q1 lowest,35278,6967,21706,6605,6.599958488999583
pm25,PM[2.5],Dialysis <1 year,Q2,38224,8350,23256,6618,8.068324587684511
pm25,PM[2.5],Dialysis <1 year,Q3,41130,10405,24056,6669,9.413853461397157
pm25,PM[2.5],Dialysis <1 year,Q4 highest,42608,11636,25028,5944,11.854096905124305
pm25,PM[2.5],Dialysis 1 to <3 years,Q1 lowest,29768,6874,16301,6593,6.628919144670899
pm25,PM[2.5],Dialysis 1 to <3 years,Q2,33339,8185,18055,7099,8.064519110890158
