time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
1,0.08054147950947836,0.667485543887427,4353,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,8.054147950947836,66.7485543887427
3,0.10836250156976443,0.7926623213052237,1007,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,10.836250156976442,79.26623213052237
5,0.12377700869331769,0.8290117274481402,306,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,12.377700869331768,82.90117274481402
10,0.13375546890664503,0.8556829790812573,17,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Heart,13.375546890664502,85.56829790812573
1,0.09611241953089475,0.6476336289118704,5303,quartile=Q2,Q2,no2,NO[2],ppb,Heart,9.611241953089475,64.76336289118704
3,0.1268744909948132,0.7782904999176004,1488,quartile=Q2,Q2,no2,NO[2],ppb,Heart,12.687449099481322,77.82904999176003
5,0.14033321182802222,0.8169142371316453,477,quartile=Q2,Q2,no2,NO[2],ppb,Heart,14.033321182802222,81.69142371316454
10,0.14794673936668182,0.844632866649119,37,quartile=Q2,Q2,no2,NO[2],ppb,Heart,14.794673936668183,84.46328666491189
1,0.10364784880377226,0.651640885954655,4836,quartile=Q3,Q3,no2,NO[2],ppb,Heart,10.364784880377226,65.1640885954655
3,0.13491756005034636,0.7791294947986243,1368,quartile=Q3,Q3,no2,NO[2],ppb,Heart,13.491756005034636,77.91294947986242
5,0.14839883138851165,0.8145409201206508,457,quartile=Q3,Q3,no2,NO[2],ppb,Heart,14.839883138851166,81.45409201206508
10,0.1555659299290888,0.8381746751525917,33,quartile=Q3,Q3,no2,NO[2],ppb,Heart,15.556592992908879,83.81746751525917
1,0.11428397989654569,0.6574536230317745,4025,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,11.428397989654568,65.74536230317744
3,0.14433960317280328,0.7809341537233068,1096,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,14.433960317280329,78.09341537233068
5,0.15565459612846505,0.8125630805132997,377,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,15.565459612846505,81.25630805132997
10,0.16123289623948622,0.8342514763498329,23,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Heart,16.123289623948622,83.42514763498329
1,0.1021418414423529,0.6469874635667154,4126,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,10.21418414423529,64.69874635667155
3,0.13307904557886557,0.7778413488465457,1143,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,13.307904557886557,77.78413488465456
5,0.14497339663556785,0.8148254580690234,384,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,14.497339663556785,81.48254580690234
10,0.15200072741216805,0.8406014904306064,25,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Heart,15.200072741216806,84.06014904306063
1,0.10289871479446634,0.6038203518878051,5088,quartile=Q2,Q2,o3,O[3],ppb,Heart,10.289871479446635,60.38203518878051
3,0.13942495258809892,0.7456872420065794,1527,quartile=Q2,Q2,o3,O[3],ppb,Heart,13.942495258809892,74.56872420065794
5,0.15677734442227148,0.7890422684476363,498,quartile=Q2,Q2,o3,O[3],ppb,Heart,15.677734442227148,78.90422684476363
10,0.16790305582665696,0.8223466697298004,27,quartile=Q2,Q2,o3,O[3],ppb,Heart,16.790305582665695,82.23466697298004
1,0.1046899994232891,0.6326263633366846,4219,quartile=Q3,Q3,o3,O[3],ppb,Heart,10.46899994232891,63.26263633366847
3,0.13791025263629444,0.7664637844391283,1059,quartile=Q3,Q3,o3,O[3],ppb,Heart,13.791025263629445,76.64637844391284
5,0.15435956675677512,0.8051934245946201,325,quartile=Q3,Q3,o3,O[3],ppb,Heart,15.435956675677511,80.51934245946201
10,0.16336024278694006,0.8284098024763598,29,quartile=Q3,Q3,o3,O[3],ppb,Heart,16.336024278694005,82.84098024763597
1,0.10644234144141031,0.6892276421921576,3210,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,10.64423414414103,68.92276421921576
3,0.1344076623090036,0.8057495838086969,691,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,13.440766230900362,80.57495838086969
5,0.14353812519831902,0.8337120858514472,199,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,14.353812519831902,83.37120858514471
10,0.14687327692496036,0.8505154749489762,9,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Heart,14.687327692496035,85.05154749489762
1,0.09299378550759842,0.6460676442197103,4921,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Heart,9.299378550759842,64.60676442197104
3,0.12362437592682304,0.782703339058033,1375,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Heart,12.362437592682305,78.2703339058033
5,0.13758248306693754,0.8212181523794584,442,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Heart,13.758248306693755,82.12181523794584
10,0.14579547074990176,0.8466213690730041,24,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Heart,14.579547074990176,84.66213690730041
