pollutant,pollutant_label,organ,quartile,n,adverse_events,competing_events,censored,median_exposure
no2,NO[2],Heart,Q1 lowest,20922,2006,15289,3627,2.6173701677602663
no2,NO[2],Heart,Q2,21816,2919,17166,1731,5.2725026733112514
no2,NO[2],Heart,Q3,20821,2935,16567,1319,8.72168742572299
no2,NO[2],Heart,Q4 highest,18587,2892,14742,953,14.8681843185425
no2,NO[2],Kidney,Q1 lowest,155548,22004,70414,63130,2.636676009331641
no2,NO[2],Kidney,Q2,153408,31905,91935,29568,5.2551156682211815
no2,NO[2],Kidney,Q3,156988,34909,98803,23276,8.785923197866552
no2,NO[2],Kidney,Q4 highest,161811,42679,99018,20114,14.938494708711318
no2,NO[2],Liver,Q1 lowest,58550,8109,40750,9691,2.6144666570975446
no2,NO[2],Liver,Q2,59246,11441,42486,5319,5.2561491766430155
no2,NO[2],Liver,Q3,57317,11642,40837,4838,8.74830080668132
no2,NO[2],Liver,Q4 highest,57671,14190,38407,5074,15.153902823712988
no2,NO[2],Lung,Q1 lowest,13641,1012,11420,1209,2.583942561523261
no2,NO[2],Lung,Q2,14191,1554,12026,611,5.26356973998044
no2,NO[2],Lung,Q3,13536,1648,11356,532,8.684474996158055
no2,NO[2],Lung,Q4 highest,10590,1721,8401,468,14.4919554296407
o3,O[3],Heart,Q1 lowest,17045,2342,13271,1432,34.961474952766764
o3,O[3],Heart,Q2,18521,2698,13926,1897,37.449684148899046
o3,O[3],Heart,Q3,17978,2498,13402,2078,39.03792574052367
o3,O[3],Heart,Q4 highest,17770,2358,13740,1672,42.894388583764226
o3,O[3],Kidney,Q1 lowest,142106,33103,79958,29045,34.622084750016285
o3,O[3],Kidney,Q2,137857,28190,79611,30056,37.4632645113506
o3,O[3],Kidney,Q3,139465,27783,73424,38258,39.052810340457505
o3,O[3],Kidney,Q4 highest,135347,27191,72039,36117,43.216119771912
o3,O[3],Liver,Q1 lowest,49957,10896,33660,5401,34.83236235821689
o3,O[3],Liver,Q2,50438,9934,34806,5698,37.44057144145533
o3,O[3],Liver,Q3,49999,9754,33453,6792,39.05338053124493
o3,O[3],Liver,Q4 highest,54491,11361,35549,7581,43.34152605659085
o3,O[3],Lung,Q1 lowest,9848,1305,7924,619,35.11177039561112
o3,O[3],Lung,Q2,12140,1531,9892,717,37.457192194686826
o3,O[3],Lung,Q3,11513,1414,9276,823,39.04153950867978
o3,O[3],Lung,Q4 highest,11348,1346,9314,688,43.099051830056126
pm25,PM[2.5],Heart,Q1 lowest,19453,2496,15286,1671,6.520577412138703
pm25,PM[2.5],Heart,Q2,18093,2348,13742,2003,7.7609020802034
pm25,PM[2.5],Heart,Q3,16775,2412,12383,1980,8.964479645093288
pm25,PM[2.5],Heart,Q4 highest,16993,2640,12928,1425,11.041696308155222
pm25,PM[2.5],Kidney,Q1 lowest,131060,25546,79864,25650,6.56356566859201
pm25,PM[2.5],Kidney,Q2,140294,27103,76325,36866,7.778327958978476
pm25,PM[2.5],Kidney,Q3,144825,30902,73826,40097,8.963701834747607
pm25,PM[2.5],Kidney,Q4 highest,138596,32716,75017,30863,10.969713318215017
pm25,PM[2.5],Liver,Q1 lowest,55405,10984,38118,6303,6.498209703362598
pm25,PM[2.5],Liver,Q2,49204,9175,33610,6419,7.765426094223207
pm25,PM[2.5],Liver,Q3,47247,9799,30910,6538,8.967570083376797
pm25,PM[2.5],Liver,Q4 highest,53029,11987,34830,6212,11.083308761318534
pm25,PM[2.5],Lung,Q1 lowest,13041,1400,10950,691,6.482886973354552
pm25,PM[2.5],Lung,Q2,11362,1300,9403,659,7.749199404182249
pm25,PM[2.5],Lung,Q3,10108,1338,7997,773,8.957911136135074
pm25,PM[2.5],Lung,Q4 highest,10338,1558,8056,724,10.96169052440991
