organ,pollutant,followup_window,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,hr_ci,p_label
Heart,PM2.5 per 5 ug/m3,2006-2023,74057,71310,167,10183,1.4469052748821083,1.341991791901875,1.5600206253979432,6.628879054307434e-22,1.45 (1.34-1.56),<0.001
Heart,O3 per 10 ppb,2006-2023,74057,71310,167,10183,0.9658074219614616,0.8907451210803974,1.0471951563253672,0.39933292062540154,0.97 (0.89-1.05),0.399
Heart,NO2 per 10 ppb,2006-2025,85409,82148,169,11064,1.2070092309980995,1.1536432650388058,1.262843833848081,3.50165335013417e-16,1.21 (1.15-1.26),<0.001
Kidney,PM2.5 per 5 ug/m3,2006-2023,606508,582160,283,116476,1.461571881932663,1.4271650017637811,1.496808262125363,5.058680089020601e-214,1.46 (1.43-1.50),<0.001
Kidney,O3 per 10 ppb,2006-2023,606508,582160,283,116476,1.0541797265735886,1.0326965113035491,1.0761098577896846,5.097455856619804e-7,1.05 (1.03-1.08),<0.001
Kidney,NO2 per 10 ppb,2006-2025,653933,626197,283,131544,1.3242472614535243,1.3057401033027067,1.3430167343651074,0,1.32 (1.31-1.34),<0.001
Liver,PM2.5 per 5 ug/m3,2006-2023,216583,204866,160,42649,1.3435675453861384,1.3007787904880077,1.3877638244222097,1.5605301123687822e-71,1.34 (1.30-1.39),<0.001
Liver,O3 per 10 ppb,2006-2023,216583,204866,160,42649,1.064698492282083,1.031210816881431,1.0992736508485257,1.2063081127010216e-4,1.06 (1.03-1.10),<0.001
Liver,NO2 per 10 ppb,2006-2025,246233,232775,163,46119,1.1809732502484975,1.1570600959504267,1.205380621701308,3.499713159071464e-57,1.18 (1.16-1.21),<0.001
Lung,PM2.5 per 5 ug/m3,2006-2023,47065,44860,83,5799,1.3210553306442,1.210015683144171,1.442284766168209,5.112941841364025e-10,1.32 (1.21-1.44),<0.001
Lung,O3 per 10 ppb,2006-2023,47065,44860,83,5799,0.93304439650776,0.8494204868220065,1.0249009287633957,0.14801824108830045,0.93 (0.85-1.02),0.148
Lung,NO2 per 10 ppb,2006-2025,54481,51971,84,6140,1.1560417630266056,1.091837955651904,1.224020973939964,6.566232785635697e-7,1.16 (1.09-1.22),<0.001
