time_days,years_since_listing,stratum,n_risk,cumulative_death,standard_error,quartile,pollutant,quartile_group,quartile_label
0,0,exposure_quartile=1,274094,0,0,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
30.4375,0.08333333333333333,exposure_quartile=1,239472,0.00896731720334143,1.8636196663348773e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
60.875,0.16666666666666666,exposure_quartile=1,226899,0.013373241729933483,2.3027782010468921e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
91.3125,0.25,exposure_quartile=1,217281,0.017044466047745677,2.623994543649636e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
121.75,0.3333333333333333,exposure_quartile=1,209465,0.019757614086301722,2.844598225227953e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
152.1875,0.4166666666666667,exposure_quartile=1,202502,0.022314785034541873,3.043348228113498e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
182.625,0.5,exposure_quartile=1,196327,0.02448309674656446,3.206238667284371e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
213.0625,0.5833333333333334,exposure_quartile=1,190091,0.026561372561416885,3.3589318938651914e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
243.5,0.6666666666666666,exposure_quartile=1,184513,0.02847135620778729,3.496803387844311e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
273.9375,0.75,exposure_quartile=1,179194,0.030439423965517798,3.63672442560444e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
304.375,0.8333333333333334,exposure_quartile=1,174200,0.03249283820110538,3.780462454220439e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
334.8125,0.9166666666666666,exposure_quartile=1,169674,0.03447148799939692,3.9170800941796895e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
365.25,1,exposure_quartile=1,165202,0.03647596735252212,4.0536558488078674e-4,1,PM2.5,Q1,Q1 (2.3-7.2 ug/m3)
