organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,elapsed_seconds,center_adjustment,variance_estimator,error
HR,Heart,heat_humidity,death_or_deterioration_delist_subdistribution,tmax_5c,Tmax per 5 C,73624,9823,999,133,TRUE,1000,1.1791211744198322,1.0303733889934217,1.349342635220251,0.01662483394811886,0.3900000000000001,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
HR,Heart,heat_humidity,death_or_deterioration_delist_subdistribution,rmax_10pct,Maximum relative humidity per 10 pct,73624,9823,999,133,TRUE,1000,1.0050145744102177,0.8158069920097627,1.2381044838665267,0.962510295904196,0.3900000000000001,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
HR,Heart,pm25,death_or_deterioration_delist_subdistribution,pm25_5ug,PM2.5 per 5 ug/m3,73624,9823,999,133,TRUE,1000,1.0415748442638053,0.7255070418344772,1.4953378722003952,0.8252632393024526,0.41000000000000014,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
HR,Heart,o3,death_or_deterioration_delist_subdistribution,o3_10ppb,Ozone per 10 ppb,73624,9823,999,133,TRUE,1000,0.9989037161142172,0.8066336585362596,1.237003469304076,0.991976477185454,0.41000000000000014,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
HR,Heart,no2,death_or_deterioration_delist_subdistribution,no2_10unit,NO2 per 10 units,73624,9823,999,133,TRUE,1000,0.9004746567205898,0.6389380305307324,1.2690661201095346,0.5492747858987244,0.3899999999999997,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
KI,Kidney,heat_humidity,death_or_deterioration_delist_subdistribution,tmax_5c,Tmax per 5 C,678254,117219,998,172,TRUE,1000,1.0536367779300462,0.9141510030401808,1.214405996509106,0.47082984237346626,0.7099999999999991,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
KI,Kidney,heat_humidity,death_or_deterioration_delist_subdistribution,rmax_10pct,Maximum relative humidity per 10 pct,678254,117219,998,172,TRUE,1000,0.9663123530148784,0.8335250995132889,1.1202536841834645,0.6495669447145027,0.7099999999999991,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
KI,Kidney,pm25,death_or_deterioration_delist_subdistribution,pm25_5ug,PM2.5 per 5 ug/m3,678254,117219,998,172,TRUE,1000,0.9825700503491948,0.6896409982330061,1.3999224325654558,0.9224439903769384,0.6999999999999993,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
KI,Kidney,o3,death_or_deterioration_delist_subdistribution,o3_10ppb,Ozone per 10 ppb,678254,117219,998,172,TRUE,1000,0.7775429573055764,0.5456676704416993,1.1079510170835671,0.16373360756865576,0.7100000000000009,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
KI,Kidney,no2,death_or_deterioration_delist_subdistribution,no2_10unit,NO2 per 10 units,678254,117219,998,172,TRUE,1000,1.0392331149207643,0.7614237139211217,1.4184027203279304,0.8083988387157693,0.6600000000000001,top_20_listing_center_fixed_effect_dummies_plus_other,cmprsk_crr_model_based,NA
