organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,1,0.0018660793958497068
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,2,0.0031188584488406335
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,3,0.005630500809524541
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,4,0.006263219008786125
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,5,0.006897754672152812
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,6,0.00753263758161149
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,7,0.009445527387092145
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,8,0.010087002818329971
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,9,0.010731163502649799
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,10,0.011375114683939258
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,12,0.012020447133322398
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,13,0.013956449109324143
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,14,0.015249514982734191
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,15,0.01590410555825783
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,17,0.01721434928947496
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,18,0.019184099546788458
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,20,0.019842729444285
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,21,0.02182101425902183
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,23,0.023151890253350405
HR,Heart,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,2.999828098053712,73624,999,TRUE,1000,24,0.023817778409932266
