organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,12,8.675158083814027e-4
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,15,0.0017346202493518925
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,23,0.002602007240194215
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,33,0.003470590212037883
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,67,0.00434226763960488
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,78,0.005213874148171205
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,84,0.0060879558356804475
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,88,0.006961964502139151
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,89,0.0078365366172084
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,113,0.008714143422539622
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,139,0.009592734896460842
KI,Kidney,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.389660633484164,678254,998,TRUE,1000,157,0.01047109272446789
