organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,2,0.0011168969958649244
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,7,0.0022336584554125682
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,17,0.0033521896187753697
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,27,0.004472717657933667
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,30,0.005592996640532144
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,44,0.006715910440804551
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,53,0.007838148192427452
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,73,0.008964858028963518
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,92,0.010095806072749403
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,106,0.011228414933666109
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,122,0.012360484323478582
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,129,0.013495842457918017
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,140,0.014631607447726513
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,170,0.015767315140573168
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,189,0.016904409297734402
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,194,0.01804217797311347
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,197,0.019179577493942945
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,235,0.02031724291422421
KI,Kidney,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.4684120298840625,678254,998,TRUE,1000,239,0.021455678225016928
