organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,4,8.98245725887703e-4
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,9,0.001796779010112326
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,14,0.002696030336538202
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,26,0.0035959952250986804
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,59,0.0044976080812079156
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,88,0.0063063228425096485
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,92,0.007210472329045037
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,140,0.008119763338107266
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,148,0.009029292994221505
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,170,0.009941522479616216
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,175,0.010853688206654555
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,188,0.01176610888142371
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,215,0.01268004826273117
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,220,0.013594097736664978
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,277,0.014511570120575246
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,285,0.015429254171247075
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,304,0.01634911204406142
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,312,0.017269027380241497
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,313,0.01818879083171976
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,347,0.019112065819904767
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,361,0.020035919784148648
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,371,0.020960080022154992
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,372,0.02188499634902552
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,374,0.02281365388171175
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,386,0.023744786465331957
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,398,0.024680334757752886
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,401,0.025616618152498938
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,432,0.02655728579831329
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,479,0.027505497213061947
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,509,0.028456134350838602
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,512,0.029406283699569324
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,538,0.030358368898950605
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,555,0.03131289022121686
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,560,0.03226806392097514
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,581,0.033225970527071325
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,601,0.034183701325883886
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,608,0.03514135727264256
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,636,0.03610098017568619
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,659,0.03706181197717395
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,663,0.03802325642015014
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,676,0.03898983299207248
KI,Kidney,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.4455613276707349,678254,998,TRUE,1000,681,0.039957839084279856
