organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,1,0.006992362684024811
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,2,0.010005226828291747
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,3,0.013035542047483473
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,4,0.01506675869336127
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,5,0.016081491191835995
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,6,0.020134905965040195
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,7,0.02319348746776506
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,8,0.024213989028693983
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,10,0.026255959236205273
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,13,0.029318680364528338
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,14,0.03034673787536335
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,15,0.032400172227959434
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,17,0.03343387770782269
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,18,0.03447068625568572
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,20,0.035506667047611296
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,21,0.03758366315193096
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,22,0.039667557546988474
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,23,0.04071372191399636
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,24,0.04176203565253922
LI,Liver,heat_humidity,tmax_5c,Tmax per 5 C,Tmax,Q1 reference,3.1506442978458526,217632,998,TRUE,1000,28,0.042811661970060366
