organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,1,0.005502946625861482
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,2,0.007349434460250159
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,3,0.008276494840707471
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,4,0.011055498482998138
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,6,0.012913965410950579
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,8,0.014916497940645645
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,9,0.01791591120638525
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,10,0.019923807856952025
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,11,0.020928083155549282
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,12,0.022935703797883122
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,13,0.02394119191436561
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,14,0.02695746492842821
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,19,0.027962773425402543
LI,Liver,no2,no2_10unit,NO2 per 10 units,NO2,Q1 reference,0.42798817957587176,217632,998,TRUE,1000,21,0.029972111125661782
