organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,1,0.0034854729144804253
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,2,0.007839944797479625
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,3,0.008714150753610816
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,4,0.009588707700657118
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,5,0.010463242667459016
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,6,0.011337408800308313
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,7,0.015698186945006798
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,8,0.016572871558034774
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,11,0.01744772542875539
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,12,0.01832401784229165
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,13,0.019202059707994268
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,20,0.020961724369258916
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,27,0.02272314822106203
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,28,0.024484829881780468
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,29,0.025366541760919792
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,30,0.028009628739422365
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,31,0.029776034835539922
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,32,0.030661475631753254
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,34,0.03154671236823092
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,35,0.03243288814097878
LI,Liver,o3,o3_10ppb,Ozone per 10 ppb,Ozone,Q1 reference,3.4389712964130297,217632,998,TRUE,1000,37,0.03332104242717182
