organ,organ_label,model,focal_term,exposure,exposure_label,curve_group,curve_exposure_value,source_n,n,sampled,finegray_max_n,time_days,cif
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,1,0.001720449156863979
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,2,0.004307354470510449
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,3,0.00604273390327259
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,4,0.006915544078866631
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,5,0.00778819440613665
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,7,0.008663264830152118
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,8,0.00953872737564343
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,9,0.012165600430268042
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,10,0.013051493308689377
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,11,0.013938906807366425
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,12,0.01482695239800047
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,13,0.016601222537402927
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,14,0.017491225094678042
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,15,0.018382175158375258
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,16,0.020205861161161298
LU,Lung,pm25,pm25_5ug,PM2.5 per 5 ug/m3,PM2.5,Q1 reference,1.3497857193555325,46695,998,TRUE,1000,17,0.022028742440115545
