organ,organ_label,model,endpoint,term,exposure,intervals,waitlist_rows,people,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,variance_estimator,center_adjustment
HR,Heart,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,tmax_interval_5c,Interval Tmax per 5 C,214424,73501,68817,9823,0.9939082267004004,0.9715914922426058,1.016737559962153,0.5979398208917136,0.6305561110324523,robust_patient_clustered,stratified_listing_center_baseline_hazard
HR,Heart,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,rmax_interval_10pct,Interval maximum relative humidity per 10 pct,214424,73501,68817,9823,0.9930709540091998,0.9588758265591566,1.0284855373146695,0.6973356185517582,0.6305561110324523,robust_patient_clustered,stratified_listing_center_baseline_hazard
HR,Heart,pm25,time_varying_death_or_deterioration_delist_cause_specific,pm25_interval_5ug,Interval PM2.5 per 5 ug/m3,214424,73501,68817,9823,1.0070728485970015,0.9441104288948192,1.074234211742055,0.8305727285331931,0.6305890990618847,robust_patient_clustered,stratified_listing_center_baseline_hazard
HR,Heart,o3,time_varying_death_or_deterioration_delist_cause_specific,o3_interval_10ppb,Interval ozone per 10 ppb,214424,73501,68817,9823,0.997036085813764,0.9536126941913976,1.0424367906068492,0.8960516414854222,0.6305715832940445,robust_patient_clustered,stratified_listing_center_baseline_hazard
HR,Heart,no2,time_varying_death_or_deterioration_delist_cause_specific,no2_interval_10unit,Interval NO2 per 10 units,214424,73501,68817,9823,1.0748219649222297,1.0225758613556613,1.1297374600137162,0.00453884524684669,0.6303701519638825,robust_patient_clustered,stratified_listing_center_baseline_hazard
KI,Kidney,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,tmax_interval_5c,Interval Tmax per 5 C,1274251,641658,526349,117219,0.9713652625712468,0.9557142936111817,0.9872725349381212,4.5570025477271824e-4,0.6379720587737102,robust_patient_clustered,stratified_listing_center_baseline_hazard
KI,Kidney,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,rmax_interval_10pct,Interval maximum relative humidity per 10 pct,1274251,641658,526349,117219,0.9610105774010358,0.9488731833626848,0.9733032254149708,8.642981485815171e-10,0.6379720587737102,robust_patient_clustered,stratified_listing_center_baseline_hazard
KI,Kidney,pm25,time_varying_death_or_deterioration_delist_cause_specific,pm25_interval_5ug,Interval PM2.5 per 5 ug/m3,1274251,641658,526349,117219,1.1853365817115245,1.1599686393844924,1.211259308431908,1.5392841976427763e-53,0.6390000995193583,robust_patient_clustered,stratified_listing_center_baseline_hazard
KI,Kidney,o3,time_varying_death_or_deterioration_delist_cause_specific,o3_interval_10ppb,Interval ozone per 10 ppb,1274251,641658,526349,117219,1.072757612654092,1.0479874434903067,1.098113248069609,3.8050147284449055e-9,0.6383545786678422,robust_patient_clustered,stratified_listing_center_baseline_hazard
KI,Kidney,no2,time_varying_death_or_deterioration_delist_cause_specific,no2_interval_10unit,Interval NO2 per 10 units,1274251,641658,526349,117219,1.143069284724552,1.1249134315434224,1.161518169347472,3.1911903608851824e-60,0.6387973105565686,robust_patient_clustered,stratified_listing_center_baseline_hazard
LI,Liver,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,tmax_interval_5c,Interval Tmax per 5 C,2573955,217574,196271,41656,0.9927183181158112,0.9855100617882244,0.999979297354405,0.04935270715352742,0.8433697004155946,robust_patient_clustered,stratified_listing_center_baseline_hazard
LI,Liver,heat_humidity,time_varying_death_or_deterioration_delist_cause_specific,rmax_interval_10pct,Interval maximum relative humidity per 10 pct,2573955,217574,196271,41656,0.9801431025496934,0.9669951582760886,0.993469815493588,0.0036052453989702,0.8433697004155946,robust_patient_clustered,stratified_listing_center_baseline_hazard
LI,Liver,pm25,time_varying_death_or_deterioration_delist_cause_specific,pm25_interval_5ug,Interval PM2.5 per 5 ug/m3,2573955,217574,196271,41656,1.019894080270811,0.9956160364500184,1.0447641428922103,0.1090372191993757,0.8433151373329162,robust_patient_clustered,stratified_listing_center_baseline_hazard
LI,Liver,o3,time_varying_death_or_deterioration_delist_cause_specific,o3_interval_10ppb,Interval ozone per 10 ppb,2573955,217574,196271,41656,0.9991729166554246,0.9851324701803968,1.0134134723981756,0.9087657858575046,0.8433084350959887,robust_patient_clustered,stratified_listing_center_baseline_hazard
