step_dir,organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
timevarying_steps_full_seq,HR,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28T20:43:32Z,2026-05-28T20:44:08Z,35.991106033325195,125985,72946,9705,0.7568066293817037
timevarying_steps_full_seq,HR,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28T20:44:08Z,2026-05-28T20:44:45Z,37.131316900253296,125985,72946,9705,0.7568339332602196
timevarying_steps_full_seq,HR,single_pollutant_ozone_cumulative_linear,cumulative,linear,done,NA,2026-05-28T20:44:45Z,2026-05-28T20:45:21Z,35.75420784950256,125985,72946,9705,0.7567520216246718
timevarying_steps_full_seq,HR,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-28T20:45:21Z,2026-05-28T20:45:58Z,36.890799045562744,125985,72946,9705,0.7570296110562506
timevarying_steps_full_seq,HR,single_pollutant_no2_cumulative_linear,cumulative,linear,done,NA,2026-05-28T20:45:58Z,2026-05-28T20:46:33Z,35.24251198768616,125985,72946,9705,0.7569021929565094
timevarying_steps_full_seq,HR,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-28T20:46:33Z,2026-05-28T20:47:09Z,36.03934192657471,125985,72946,9705,0.7572116369130235
timevarying_steps_full_seq,HR,combined_pollutants_cumulative_linear,cumulative,linear,done,NA,2026-05-28T20:47:09Z,2026-05-28T20:47:47Z,37.1835401058197,125985,72946,9705,0.7567838761496071
timevarying_steps_full_seq,HR,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-28T20:47:47Z,2026-05-28T20:48:26Z,39.52163600921631,125985,72946,9705,0.7571797823880883
timevarying_steps_full_seq,HR,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28T20:48:26Z,2026-05-28T20:49:02Z,36.02489495277405,125985,72946,9705,0.7567292683925751
timevarying_steps_full_seq,HR,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28T20:49:02Z,2026-05-28T20:49:39Z,36.88272190093994,125985,72946,9705,0.7568157306745423
timevarying_steps_full_seq,HR,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28T20:49:39Z,2026-05-28T20:50:15Z,36.31086802482605,125985,72946,9705,0.7567747748567684
timevarying_steps_full_seq,HR,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28T20:50:15Z,2026-05-28T20:50:51Z,35.88688778877258,125985,72946,9705,0.7569613513599607
timevarying_steps_full_seq,HR,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28T20:50:51Z,2026-05-28T20:51:27Z,35.33746409416199,125985,72946,9705,0.7568930916636708
timevarying_steps_full_seq,HR,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28T20:51:27Z,2026-05-28T20:52:03Z,36.67985200881958,125985,72946,9705,0.7573299537199258
timevarying_steps_full_seq,HR,combined_pollutants_lagged_annual_linear,lagged_annual,linear,done,NA,2026-05-28T20:52:03Z,2026-05-28T20:52:40Z,36.97921299934387,125985,72946,9705,0.7568157306745423
timevarying_steps_full_seq,HR,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-28T20:52:40Z,2026-05-28T20:53:19Z,38.82018685340881,125985,72946,9705,0.7571797823880883
timevarying_steps_li_lu_seq,LI,single_pollutant_pm25_cumulative_linear,cumulative,linear,done,NA,2026-05-28T20:56:14Z,2026-05-28T21:00:40Z,266.22244215011597,421374,216497,41324,0.7940927026320902
timevarying_steps_li_lu_seq,LI,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-28T21:00:40Z,2026-05-28T21:05:10Z,269.80706214904785,421374,216497,41324,0.7941231836969846
