step_file,step_dir,organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
hr_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.4068080361684163,1.934182680736889,1.0270394527559126,0.7860908143704081,1.3418424668426865,125985,72946,9705,0.7567838761496071,0.7525466882058568,1,0.38567113011172616
hr_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.635269698590944,4.004470092228481,1.0169516340893032,0.7445218285112581,1.3890668969973201,125985,72946,9705,0.7567838761496071,0.7117345074743712,1,0.3988685981478925
hr_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.497162420422423,1.20883533477783,1.0065628937763738,0.8432223361275407,1.2015441428892863,125985,72946,9705,0.7567838761496071,0.04934599917251481,1,0.8242052162886739
hr_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.4068080361684163,1.934182680736889,1.0530269004772832,0.8003825099090988,1.3854196454826708,125985,72946,9705,0.7571797823880883,3.493326957312651,3,0.3216286239248951
hr_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_full_seq,HR,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.635269698590944,4.004470092228481,1.068068820500898,0.7730309787701917,1.4757118882105116,125985,72946,9705,0.7571797823880883,3.7329516945001338,3,0.2917818869886758
hr_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_full_seq,HR,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.497162420422423,1.20883533477783,0.9730923665956648,0.810180504644575,1.168762699791399,125985,72946,9705,0.7571797823880883,3.087306974719352,3,0.37835906142917686
hr_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3914728322620171,1.8993543167908984,1.0165041842213656,0.7811448318456737,1.3227774343691532,125985,72946,9705,0.7568157306745423,0.3234215209310836,1,0.569558655199701
hr_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,Ozone,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.631734973390638,3.9946492637599937,1.0129658608767935,0.8140264639892382,1.2605239272852793,125985,72946,9705,0.7568157306745423,0.4666307099448334,1,0.4945412967890306
hr_combined_pollutants_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,NO2,combined_pollutants_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.48319614572490704,1.17559146881104,1.006399258236416,0.7779870937930734,1.3018718113185055,125985,72946,9705,0.7568157306745423,0.04842191614281321,1,0.8258323673592296
hr_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3914728322620171,1.8993543167908984,1.028343753380805,0.785318335707105,1.346576066080453,125985,72946,9705,0.7571797823880883,0.5996625831155711,3,0.8965096128898266
hr_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.631734973390638,3.9946492637599937,1.0527012950853474,0.841370794338835,1.3171125312772431,125985,72946,9705,0.7571797823880883,2.443899454269307,3,0.4855150704634183
hr_combined_pollutants_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.48319614572490704,1.17559146881104,0.9653000252458104,0.7405193088593375,1.2583117382514588,125985,72946,9705,0.7571797823880883,4.440956622107395,3,0.217617673207677
hr_single_pollutant_no2_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,NO2,single_pollutant_no2_cumulative_linear,cumulative,linear,p75_vs_p25,0.497162420422423,1.20883533477783,1.0118374241325103,0.850429894549581,1.2038793314260952,125985,72946,9705,0.7569021929565094,0.23353753578443703,1,0.6289131150201182
hr_single_pollutant_no2_cumulative_spline_contrast.csv,timevarying_steps_full_seq,HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.497162420422423,1.20883533477783,0.9793531812397496,0.8198891360530525,1.1698321290384257,125985,72946,9705,0.7572116369130235,3.3428538206466536,3,0.3417225885804361
hr_single_pollutant_no2_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,NO2,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,0.48319614572490704,1.17559146881104,1.0088850887872525,0.7834383940651258,1.299207608521482,125985,72946,9705,0.7568930916636708,0.1333406709052761,1,0.7149931551704158
hr_single_pollutant_no2_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.48319614572490704,1.17559146881104,0.9696463502431932,0.7497400790198068,1.254053332415095,125985,72946,9705,0.7573299537199258,4.450329276041539,3,0.21676382428395133
hr_single_pollutant_ozone_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,Ozone,single_pollutant_ozone_cumulative_linear,cumulative,linear,p75_vs_p25,3.635269698590944,4.004470092228481,1.0131122566740505,0.7419502391300656,1.3833763916925668,125985,72946,9705,0.7567520216246718,0.4793485817920607,1,0.4887175305376419
