organ,pollutant,model,exposure_window,exposure_form,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,0.8985883780695559,1.6447695929165835,1.011317120615344,0.8914585966897665,1.1472908806393376,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,0.9271702816182674,1.6447695929165835,1.0114502752057792,0.8937313307800514,1.1446747182074746,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,0.9557521851669789,1.6447695929165835,1.0115525603202757,0.8957495864661384,1.1423266030491055,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,0.9843340887156905,1.6447695929165835,1.011622045540164,0.8975123104963085,1.1402396948259743,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.012915992264402,1.6447695929165835,1.0116568029886828,0.8990211963061697,1.1384041791654684,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.0414978958131136,1.6447695929165835,1.011654907973276,0.9002806760453582,1.1368073091628306,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.070079799361825,1.6447695929165835,1.011614439663956,0.9012978143142525,1.1354335473621895,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.0986617029105366,1.6447695929165835,1.0115334818074837,0.902082106075184,1.1342648057496134,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.127243606459248,1.6447695929165835,1.0114101234770905,0.9026451885545758,1.1332807739329058,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.1558255100079595,1.6447695929165835,1.0112424598574217,0.9030004830718007,1.1324593195562862,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.184407413556671,1.6447695929165835,1.0110285930643401,0.903162786780656,1.1317769409402245,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.2129893171053825,1.6447695929165835,1.010766632999195,0.9031478358633594,1.1312092503747062,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.241571220654094,1.6447695929165835,1.0104546982371023,0.9029718608174366,1.1307314673849662,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.2701531242028055,1.6447695929165835,1.010090916948757,0.9026511515600376,1.1303189041957582,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.298735027751517,1.6447695929165835,1.0096734278552297,0.9022016458318565,1.1299474298530852,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.3273169313002287,1.6447695929165835,1.009200381215163,0.9016385495674518,1.129593904268439,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.35589883484894,1.6447695929165835,1.0086699398437402,0.9009759931898073,1.129236578149355,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.3844807383976516,1.6447695929165835,1.0080802801627247,0.9002267236760464,1.1288554588817716,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.4130626419463632,1.6447695929165835,1.0074295932808357,0.8994018290336222,1.1284326456267968,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.4416445454950746,1.6447695929165835,1.0067160861036721,0.8985104896259595,1.1279526390858234,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.470226449043786,1.6447695929165835,1.005937982472317,0.8975597495904616,1.1274026325736979,421374,216497,41324,0.7941121301240011
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,1.4988083525924978,1.6447695929165835,1.0050941840622243,0.896554619188805,1.126773871010493,421374,216497,41324,0.7941121301240011
