organ,pollutant,model,exposure_window,exposure_form,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.18128642119000454,0.821503793276273,0.986383303465806,0.8887745238059936,1.0947118704411665,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.21765880575119673,0.821503793276273,0.9888820450323089,0.8933751111400342,1.0945992190664466,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.25403119031238897,0.821503793276273,0.9912737918114496,0.8976106216187238,1.094710453136367,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.29040357487358115,0.821503793276273,0.9935369541001648,0.901453938547795,1.0950261981802816,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.32677595943477333,0.821503793276273,0.9956497978972563,0.904885830982474,1.0955177836927001,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3631483439959655,0.821503793276273,0.9975904747778468,0.9078951724434151,1.0961472046262202,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3995207285571577,0.821503793276273,0.9993370564841266,0.9104786240435847,1.0968676540994244,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.43589311311834994,0.821503793276273,1.000867574237943,0.9126397823721957,1.09762462749231,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.4722654976795421,0.821503793276273,1.0021600627586982,0.9143878589357971,1.0983575312968321,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5086378822407343,0.821503793276273,1.0031926089451513,0.9157360065934672,1.0990016810477559,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5450102668019265,0.821503793276273,1.003943405152134,0.916699428367539,1.099490552255866,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5813826513631187,0.821503793276273,1.0043908069629872,0.9172933939640905,1.099758157804037,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6177550359243109,0.821503793276273,1.0045141586583866,0.9175319011515854,1.099742356291611,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6541274204855031,0.821503793276273,1.0043148177874748,0.9174429720101557,1.0994124801212422,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6904998050466953,0.821503793276273,1.003818767522979,0.9170676863968483,1.0987761677553047,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7268721896078876,0.821503793276273,1.0030535035354864,0.916440804118271,1.097851957740819,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7632445741690796,0.821503793276273,1.0020466707888591,0.915591269813221,1.0966656886580735,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7996169587302719,0.821503793276273,1.0008259939282045,0.9145437224666287,1.0952485327008827,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.835989343291464,0.821503793276273,0.9994192150912662,0.9133198622692285,1.0936352188946536,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8723617278526563,0.821503793276273,0.9978540392412502,0.9119396630360239,1.0918624597543636,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.9087341124138484,0.821503793276273,0.9961580870746306,0.9104224245180251,1.0899675883637472,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.9451064969750407,0.821503793276273,0.9943588555186839,0.9087876601600212,1.0879874110244032,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.981478881536233,0.821503793276273,0.9924836858004382,0.9070558152622636,1.0859572806941498,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.017851266097425,0.821503793276273,0.9905597390414704,0.9052488101442334,1.0839103963622663,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0542236506586173,0.821503793276273,0.9886139793114815,0.9033904039067613,1.0818773321738266,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0905960352198094,0.821503793276273,0.9866731640578511,0.9015063770563392,1.0798857972039517,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.1269684197810017,0.821503793276273,0.9847635484690604,0.8996242465429984,1.0779603263472344,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.1633408043421938,0.821503793276273,0.9828999807909587,0.8977621124732932,1.0761117659302053,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.199713188903386,0.821503793276273,0.9810827732201105,0.8959240903732154,1.074335893243259,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.2360855734645781,0.821503793276273,0.9793112879570979,0.8941129822789345,1.072627976249423,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.2724579580257704,0.821503793276273,0.977584896457856,0.8923312111396811,1.0709837534001945,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.3088303425869625,0.821503793276273,0.9759029791994023,0.8905808335075432,1.069399417747746,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.3452027271481548,0.821503793276273,0.9742649254504205,0.8888635535446713,1.0678715998396602,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.381575111709347,0.821503793276273,0.9726701330465815,0.8871807378728629,1.0663973498672072,421374,216497,41324,0.7941422762321384
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.4179474962705392,0.821503793276273,0.9711180081704772,0.8855334308749546,1.0649741194538427,421374,216497,41324,0.7941422762321384
