organ,pollutant,model,exposure_window,exposure_form,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.17488637958283462,0.7521740541378554,1.0215292321297558,0.7486540242632285,1.3938641058165258,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.20687727626240607,0.7521740541378554,1.020360213294055,0.753271312755542,1.3821513540253023,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.23886817294197754,0.7521740541378554,1.0191911188688072,0.7572005504386952,1.3718301395571302,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.270859069621549,0.7521740541378554,1.0180217099414575,0.7604294155102251,1.3628723202623048,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.30284996630112043,0.7521740541378554,1.0168517487091673,0.7629659946097941,1.355220922240062,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3348408629806919,0.7521740541378554,1.0156809984798174,0.764838813363415,1.348791238949308,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3668317596602634,0.7521740541378554,1.0145092236735642,0.7660955275114983,1.3434734024123254,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.3988226563398348,0.7521740541378554,1.0133361898249391,0.7668003650207479,1.3391363390667408,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.43081355301940627,0.7521740541378554,1.0121616635855,0.7670305657218258,1.3356328665573745,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.4628044496989777,0.7521740541378554,1.010985412727013,0.7668721622346698,1.33280559013699,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.49479534637854916,0.7521740541378554,1.0098072061451742,0.7664154653276813,1.3304932373027527,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5267862430581206,0.7521740541378554,1.008626813863858,0.7657505635303025,1.3285371217423858,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.558777139737692,0.7521740541378554,1.0074440070398913,0.764963044102488,1.3267875293392775,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.5907680364172635,0.7521740541378554,1.0062578925008905,0.7641278139473032,1.3251120136429988,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6227589330968349,0.7521740541378554,1.00506322157269,0.7632913400793259,1.3234161404911169,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6547498297764064,0.7521740541378554,1.0038530158660297,0.7624755472555302,1.3216435347868323,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.6867407264559778,0.7521740541378554,1.0026203265218543,0.761686412146324,1.3197655926697514,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7187316231355493,0.7521740541378554,1.0013582403873043,0.7609178823722101,1.3177746887292487,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7507225198151207,0.7521740541378554,1.0000598818151614,0.7601553420692448,1.315678140856965,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.7827134164946922,0.7521740541378554,0.9987184149368433,0.7593786543452267,1.3134929018962231,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8147043131742636,0.7521740541378554,0.9973270464038265,0.758564806102793,1.311240950656224,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8466952098538351,0.7521740541378554,0.9958790285918813,0.7576901748938675,1.308945361114166,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.8786861065334065,0.7521740541378554,0.9943676632619379,0.7567324254149645,1.3066270408576757,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.910677003212978,0.7521740541378554,0.9927863056707366,0.7556720309745963,1.304302142102813,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.9426678998925495,0.7521740541378554,0.9911283691236721,0.7544934065492076,1.3019801572218017,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,0.974658796572121,0.7521740541378554,0.9893873299614182,0.7531856368087878,1.2996627137443615,60514,41045,4635,0.797417559052074
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,1.0066496932516924,0.7521740541378554,0.987556760898618,0.7517428169576048,1.2973430992578028,60514,41045,4635,0.797417559052074
