organ,pollutant,model,exposure_window,exposure_form,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,0.9015105608661007,1.6108978088166985,0.9673031078687587,0.7249304598197834,1.2907104258319715,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,0.9278331549607862,1.6108978088166985,0.9662239910359681,0.7306469141968013,1.277756441193989,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,0.9541557490554718,1.6108978088166985,0.9652600173873069,0.7359796746394639,1.2659682505810657,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,0.9804783431501574,1.6108978088166985,0.9644187605136588,0.7409172328759593,1.2553406836285792,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.006800937244843,1.6108978088166985,0.9637078112352301,0.7454548565573649,1.2458604800360962,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.0331235313395286,1.6108978088166985,0.9631347877720987,0.749595448678124,1.2375056719629698,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.059446125434214,1.6108978088166985,0.9627073465492302,0.7533501650487716,1.2302452141095084,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.0857687195288996,1.6108978088166985,0.9624331936485265,0.7567387145075762,1.2240389377187448,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.1120913136235853,1.6108978088166985,0.9623200969230449,0.7597892908864881,1.2188378805148639,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.1384139077182707,1.6108978088166985,0.962375898791224,0.7625381202784245,1.2145850101710927,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.1647365018129563,1.6108978088166985,0.9626085297318783,0.7650286461936352,1.2112163199677548,60514,41045,4635,0.7969845749410446
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,1.191059095907642,1.6108978088166985,0.9630260225037858,0.767310411429807,1.2086622391729422,60514,41045,4635,0.7969845749410446
