organ,model,exposure_window,exposure_form,status,error,started_at,finished_at,elapsed_seconds,n_intervals,n_registrations,adverse_events,concordance
LI,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-29 07:32:16.204659,2026-05-29 07:36:50.449235,274.2411630153656,421374,216497,41324,0.7941231836969846
LI,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-29 07:36:50.45617,2026-05-29 07:41:21.442672,270.98126196861267,421374,216497,41324,0.7940846636699201
LI,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-29 07:41:21.449089,2026-05-29 07:45:52.724081,271.27026987075806,421374,216497,41324,0.7941422762321384
LI,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-29 07:45:52.732522,2026-05-29 07:50:43.061182,290.323921918869,421374,216497,41324,0.7941188292591426
LI,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 07:50:43.069074,2026-05-29 07:55:15.834219,272.7642910480499,421374,216497,41324,0.7940893530645194
LI,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 07:55:15.840787,2026-05-29 07:59:46.724195,270.8783700466156,421374,216497,41324,0.7941024163780456
LI,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 07:59:46.732132,2026-05-29 08:04:17.247532,270.5103950500488,421374,216497,41324,0.7941305527456406
LI,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 08:04:17.254038,2026-05-29 08:09:08.557211,291.29806685447693,421374,216497,41324,0.7941121301240011
LU,single_pollutant_pm25_cumulative_spline,cumulative,spline,done,NA,2026-05-29 08:09:08.593087,2026-05-29 08:09:22.703798,14.109934091567993,60514,41045,4635,0.7971546758418062
LU,single_pollutant_ozone_cumulative_spline,cumulative,spline,done,NA,2026-05-29 08:09:22.707639,2026-05-29 08:09:37.288643,14.575407028198242,60514,41045,4635,0.7976495148258399
LU,single_pollutant_no2_cumulative_spline,cumulative,spline,done,NA,2026-05-29 08:09:37.292351,2026-05-29 08:09:51.683604,14.390259981155396,60514,41045,4635,0.797417559052074
LU,combined_pollutants_cumulative_spline,cumulative,spline,done,NA,2026-05-29 08:09:51.687173,2026-05-29 08:10:07.866345,16.174179077148438,60514,41045,4635,0.7977036378397185
LU,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 08:10:07.869979,2026-05-29 08:10:22.484137,14.602652072906494,60514,41045,4635,0.7969845749410446
LU,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 08:10:22.487897,2026-05-29 08:10:36.583897,14.091293096542358,60514,41045,4635,0.7974716820659528
LU,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 08:10:36.587577,2026-05-29 08:10:50.901429,14.308542966842651,60514,41045,4635,0.797417559052074
LU,combined_pollutants_lagged_annual_spline,lagged_annual,spline,done,NA,2026-05-29 08:10:50.905183,2026-05-29 08:11:07.344345,16.438175916671753,60514,41045,4635,0.7976572466849654
