organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,1,58816,14681,2032,0.5496954658082567
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,2,58820,14677,2021,0.5319714485167647
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,3,58806,14691,1989,0.5354642326840131
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,4,58789,14708,2013,0.539159498109295
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,5,58757,14740,1974,0.5449601937122541
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,1,58816,14681,2032,0.5672987264606535
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,2,58820,14677,2021,0.5435404094548189
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,3,58806,14691,1989,0.5592112626768196
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,4,58789,14708,2013,0.5499733351874353
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,5,58757,14740,1974,0.5668392264332538
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,1,58816,14681,2032,0.6563653387927133
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,2,58820,14677,2021,0.6226184773302545
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,3,58806,14691,1989,0.6467319884150913
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,4,58789,14708,2013,0.6375402095067533
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,5,58757,14740,1974,0.6541159008208766
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,1,58816,14681,2032,0.6591310038810605
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,2,58820,14677,2021,0.626407783800098
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,3,58806,14691,1989,0.6479740464692502
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,4,58789,14708,2013,0.6403072825710976
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,5,58757,14740,1974,0.6525298370100442
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,1,58816,14681,2032,0.658847691145199
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,2,58820,14677,2021,0.6259754333420382
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,3,58806,14691,1989,0.6482613866147345
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,4,58789,14708,2013,0.6410578019688415
HR,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,5,58757,14740,1974,0.6526443467169039
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,1,58816,14681,2032,0.5200744892900946
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,2,58820,14677,2021,0.5362093150006602
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,3,58806,14691,1989,0.5255517683088701
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,4,58789,14708,2013,0.5150939604417272
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,pollutant_only,5,58757,14740,1974,0.531040629326264
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,1,58816,14681,2032,0.5653169052745488
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,2,58820,14677,2021,0.5445710072869127
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,3,58806,14691,1989,0.5606773946681852
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,4,58789,14708,2013,0.5463044921282193
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,demographics_year,5,58757,14740,1974,0.5676433291013449
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,1,58816,14681,2032,0.65556169539813
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,2,58820,14677,2021,0.6227233373783109
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,3,58806,14691,1989,0.6472567603283003
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,4,58789,14708,2013,0.63566859223289
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,5,58757,14740,1974,0.6540995742415783
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,1,58816,14681,2032,0.65831504880214875
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,2,58820,14677,2021,0.6256752696613845
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,3,58806,14691,1989,0.6483933502371051
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,4,58789,14708,2013,0.6388799820705626
HR,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,5,58757,14740,1974,0.6518140767915812
