sensitivity,sensitivity_label,organ,organ_label,exposure,exposure_label,exposure_window,exposure_data_end_year,endpoint,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
no_organ_score,Primary waitlist-period exposure model without organ score,HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.70090069553137,1.5763934777797726,1.83524178248552,1.0915974749528407e-42,0.5545365362318089,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,0.9977755963940748,0.9176869897625766,1.0848537157719988,0.9583985981508543,0.5412828948316708,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,HR,Heart,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,82140,82140,168,10749,1.2933400932705728,1.235527541735906,1.3538577978690498,2.906496693195723e-28,0.5510952469251753,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.9699491961434903,1.9241383563572925,2.0168507231118142,0,0.6771104818741451,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.0980346291653964,1.0753316444116778,1.1212169316434712,1.734266174076529e-18,0.6719920642558846,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,KI,Kidney,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,627755,627755,281,131497,1.459651263496035,1.438937673847911,1.480663026445136,0,0.6757983111803568,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204885,204885,160,41945,1.583799651091149,1.5324286119299666,1.6368927826512565,1.7299198183198002e-164,0.5601420222761025,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204885,204885,160,41945,1.0533087003839787,1.0193165165404396,1.088434456129575,0.001915209116776795,0.5531074213284211,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LI,Liver,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,232784,232784,163,45382,1.2831230237132085,1.25693693522162,1.3098546536804867,3.873486353398673e-124,0.5597016862980302,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LU,Lung,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,1.4849038831377164,1.3590610759541792,1.6223991556887236,2.1320077826200524e-18,0.552774207167588,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LU,Lung,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,0.931559664237469,0.8458653915636305,1.0259355882028014,0.1498916844436079,0.5445457163664216,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_organ_score,Primary waitlist-period exposure model without organ score,LU,Lung,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,51958,51958,85,5935,1.2596004815842854,1.188715422145241,1.334712533925137,5.731833262004768e-15,0.5609514123852684,age + sex + race + listing_year + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
no_listing_center,Primary waitlist-period exposure model without listing-center strata,HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.4400313718399635,1.3596476139380227,1.5251674997443956,1.5224990940068287e-35,0.6141320964367729,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.0296523926800776,0.9775596281726867,1.0845211066393654,0.2699611371203834,0.6138427768720218,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,HR,Heart,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,82140,82140,168,10749,1.1155715563986524,1.074697528680179,1.1580001481664004,9.327044252979418e-9,0.6227501959104846,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.253812402942955,1.2342713155049783,1.2736628665233254,3.0908611669593895e-175,0.6836719872332626,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,0.9833881476270169,0.970234675464444,0.9967199414207444,0.014762205978265344,0.6814433427116904,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,KI,Kidney,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,627755,627755,281,131497,1.1209477578228253,1.109366146748273,1.1326502791265887,5.687531357291778e-103,0.680950358366419,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204884,204884,160,41945,1.318049282218052,1.2866224848200865,1.350243704623621,2.0771803325164257e-111,0.7466926363057632,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204884,204884,160,41945,1.0142727039309907,0.9922128793420053,1.0368229836138665,0.20653014417994833,0.7451109481497011,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LI,Liver,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,232782,232782,163,45382,1.2035327072548057,1.1834373030603071,1.223969342259501,3.858234703417144e-103,0.7500304910512603,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LU,Lung,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,1.303643594988166,1.2152311728372966,1.3984883376433992,1.359344957561214e-13,0.6753374238801627,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LU,Lung,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,0.9449326268811717,0.8831742363994454,1.0110096428817343,0.10049510917124942,0.6771678963898449,age + sex + race + listing_year + baseline_organ_score,model_based,none
no_listing_center,Primary waitlist-period exposure model without listing-center strata,LU,Lung,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,51958,51958,85,5935,1.2202445685562897,1.1595916842613516,1.284069925044005,1.9761373175083132e-14,0.6832788617110452,age + sex + race + listing_year + baseline_organ_score,model_based,none
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71228,71228,166,9885,1.687286700711316,1.5628369745998536,1.821646439563028,7.725734074414562e-41,0.6073451483324332,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,71228,71228,166,9885,1.0242050879288382,0.9412957728188784,1.114417054055085,0.5786847599636178,0.6043975592217926,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,HR,Heart,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,82054,82054,168,10741,1.2913741564430832,1.2319893570855818,1.3536214435115768,1.8209637731052658e-26,0.6167926459711823,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554209,554209,279,116141,2.0144714514658966,1.9666811252066332,2.0634230820437374,0,0.6772853124359991,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,554209,554209,279,116141,1.0996882065622748,1.0768818516826806,1.1229775576239305,6.267245407496406e-19,0.6719609420364615,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,KI,Kidney,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,627156,627156,281,131365,1.4967662025689294,1.4747092550962666,1.5191530516341472,0,0.6760263312926329,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204654,204654,160,41903,1.4690595505275246,1.4210205999671333,1.51872250342187,8.080894744815266e-114,0.7377934760486713,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LI,Liver,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,204654,204654,160,41903,1.0908921249600003,1.0558663806232271,1.1270797613589307,1.742968404238337e-7,0.7369609081727355,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LI,Liver,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,232541,232541,163,45340,1.2154452850362771,1.1897684252808831,1.241676287188535,9.865152422499284e-72,0.7415374595876467,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LU,Lung,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44792,44792,84,5590,1.4325077623613085,1.310006052960518,1.5664648912024914,3.264473373919687e-15,0.6746757307825504,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LU,Lung,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean,2023,death_or_deterioration_delist_cause_specific,44792,44792,84,5590,0.9437735331213895,0.8568402740636926,1.0395268625692775,0.24051074186517346,0.6754237797819219,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
primary_plus_svi,Primary waitlist-period exposure model additionally adjusted for ACS-derived ZCTA SVI proxy,LU,Lung,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean,2025,death_or_deterioration_delist_cause_specific,51898,51898,85,5929,1.2105193091284152,1.1408927254429022,1.2843950750968935,2.597593285892045e-10,0.680734838098776,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",HR,Heart,pm25,PM2.5 one-year prior mean per 5 ug/m3,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,74108,74108,167,10017,1.0668423683796906,1.0085001018220852,1.1285597660462854,0.0241367420938285,0.5497611592965317,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",HR,Heart,o3,Ozone one-year prior mean per 10 ppb,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,74108,74108,167,10017,1.0241347479407479,0.9739237352806405,1.0769344086654054,0.35247437085434263,0.5491331302319977,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",HR,Heart,no2,NO2 one-year prior mean per 10-unit increment,one_year_prior_listing,2025,death_or_deterioration_delist_cause_specific,79463,79463,168,10249,0.9502808894106106,0.9168687082437373,0.9849106645909892,0.005229921400987225,0.5505919467472191,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",KI,Kidney,pm25,PM2.5 one-year prior mean per 5 ug/m3,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,564724,564724,277,123423,0.9695898653561609,0.9561622301084665,0.9832060683831166,1.4229347826674261e-5,0.6490459240075489,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",KI,Kidney,o3,Ozone one-year prior mean per 10 ppb,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,564724,564724,277,123423,1.0335900412825214,1.0209446989526612,1.0463920078475664,1.438051713347762e-7,0.6491629747653186,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",KI,Kidney,no2,NO2 one-year prior mean per 10-unit increment,one_year_prior_listing,2025,death_or_deterioration_delist_cause_specific,600708,600708,278,124065,0.9207587870002087,0.9124966555390568,0.929095727301335,4.670647775999795e-72,0.6489016692612777,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LI,Liver,pm25,PM2.5 one-year prior mean per 5 ug/m3,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,208789,208789,158,42137,1.0598993304082547,1.0358168734641278,1.0845416978417,7.017306544051342e-7,0.556102293492214,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LI,Liver,o3,Ozone one-year prior mean per 10 ppb,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,208789,208789,158,42137,0.9925707916977455,0.9712496202228691,1.0143600121103984,0.5009103627718384,0.5556924665393217,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LI,Liver,no2,NO2 one-year prior mean per 10-unit increment,one_year_prior_listing,2025,death_or_deterioration_delist_cause_specific,222766,222766,161,42883,1.027493216370455,1.0112368921362738,1.0440108721281023,8.583506526359508e-4,0.5545214082818072,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LU,Lung,pm25,PM2.5 one-year prior mean per 5 ug/m3,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,46843,46843,84,5588,1.0747392000350957,1.0056137912971137,1.1486162561495818,0.03358601480825895,0.5470669965418136,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LU,Lung,o3,Ozone one-year prior mean per 10 ppb,one_year_prior_listing,2024,death_or_deterioration_delist_cause_specific,46843,46843,84,5588,0.9569005465855702,0.8952287653804101,1.0228208603939035,0.19493378363620867,0.5471531181306128,age + sex + race + listing_year,model_based,none
prior_1y_no_score_no_center,"One-year prior exposure model without organ score, kidney clinical covariates, or listing-center strata",LU,Lung,no2,NO2 one-year prior mean per 10-unit increment,one_year_prior_listing,2025,death_or_deterioration_delist_cause_specific,50458,50458,84,5681,1.08166643112471,1.0310742528309433,1.1347410383002767,0.0013178813788989956,0.5567895871873342,age + sex + race + listing_year,model_based,none
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.5575176697659259,1.4241509335902638,1.7033737326685723,2.973340074340466e-22,0.606956525749973,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,HR,Heart,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.104715328989258,1.0450585045015879,1.167777643880214,4.381548105965029e-4,0.606956525749973,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.7053477299732527,1.6599089142511505,1.7520304006783005,0,0.6787696121575264,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,KI,Kidney,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.2115747761794589,1.1911712651970856,1.2323277778459771,1.0923153548710613e-108,0.6787696121575264,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,204884,204884,160,41945,1.3914349832507555,1.3386539949672605,1.446297041575244,6.430347615789091e-63,0.7379375140637727,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,LI,Liver,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,204884,204884,160,41945,1.0977176224166167,1.0707679604103548,1.1253455679624547,1.961616748357272e-13,0.7379375140637727,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,LU,Lung,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,1.3588195534627237,1.2233124696125486,1.5093368413529133,1.0623825571273723e-8,0.6747911781601077,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2,Multipollutant waitlist-period model with PM2.5 and NO2,LU,Lung,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,44849,44849,84,5596,1.0851518957919144,1.0117905301984818,1.1638324354644694,0.022127670392463133,0.6747911781601077,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.5111498125373828,1.3797071069844766,1.6551148750134403,5.976046471580336e-19,0.6073702065636587,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",HR,Heart,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.1613238329395643,1.090684310624563,1.236538411541966,2.9965684478825815e-6,0.6073702065636587,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,71308,71308,166,9893,1.1742703027783012,1.0683458191507633,1.290697000230834,8.665096795735245e-4,0.6073702065636587,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",KI,Kidney,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.534141969665294,1.4908210676792528,1.5787217085363048,1.673983228735797e-188,0.680429313994507,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",KI,Kidney,no2,NO2 waitlist-period mean per 10-unit increment,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.349404665265531,1.3227412897651778,1.3766055121509342,2.305016573159953e-190,0.680429313994507,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",KI,Kidney,o3,Ozone waitlist-period mean per 10 ppb,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,554775,554775,279,116267,1.2829903179681716,1.2520438192110963,1.3147017147029592,5.135897837950424e-89,0.680429313994507,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
multipollutant_pm25_no2_o3,"Multipollutant waitlist-period model with PM2.5, NO2, and O3",LI,Liver,pm25,PM2.5 waitlist-period mean per 5 ug/m3,observed_waitlist_period_mean_multipollutant,2023,death_or_deterioration_delist_cause_specific,204884,204884,160,41945,1.3320580515709686,1.2809042323952173,1.385254734803287,1.0494648686714058e-46,0.7383731239059309,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
