"organ","organ_label","exposure","exposure_label","exposure_window","exposure_data_end_year","endpoint","n","adverse_events","competing_transplant_or_improvement","expanded_rows","subdistribution_hazard_ratio","conf_low","conf_high","p_value","elapsed_seconds","adjustment_set","variance_estimator","center_adjustment","sampled","error"
"HR","Heart","no2","NO2 waitlist-period mean per 10-unit increment","observed_waitlist_period_mean",2025,"death_or_deterioration_delist_subdistribution",53788,5304,41031,37676706,0.975480613449411,0.898992148572739,1.05847690519474,0.551264209217505,233.25,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"HR","Heart","o3","Ozone waitlist-period mean per 10 ppb","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",42201,4419,31485,25360923,0.995690253716593,0.8730774790298,1.13552245380089,0.948637947952854,145.72,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"HR","Heart","pm25","PM2.5 waitlist-period mean per 5 ug/m3","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",42201,4419,31485,25360923,0.919613544973631,0.809694226212073,1.0444548629861,0.196953857645558,172.44,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"KI","Kidney","no2","NO2 waitlist-period mean per 10-unit increment","observed_waitlist_period_mean",2025,"death_or_deterioration_delist_subdistribution",397047,52409,208986,533665756,NA,NA,NA,NA,625.08,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,"cannot allocate vector of size 83.5 Gb"
"KI","Kidney","o3","Ozone waitlist-period mean per 10 ppb","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",343981,37357,147941,317457537,NA,NA,NA,NA,1975.92,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,"cannot allocate vector of size 42.6 Gb"
"KI","Kidney","pm25","PM2.5 waitlist-period mean per 5 ug/m3","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",343981,37357,147941,317457537,NA,NA,NA,NA,355.99,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,"cannot allocate vector of size 42.6 Gb"
"LI","Liver","no2","NO2 waitlist-period mean per 10-unit increment","observed_waitlist_period_mean",2025,"death_or_deterioration_delist_subdistribution",146930,21305,106417,165514207,NA,NA,NA,NA,1040.84,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,"object is too large (18446744065832086368 bytes)"
"LI","Liver","o3","Ozone waitlist-period mean per 10 ppb","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",116573,17821,80439,115442197,1.03194372086866,0.979579867162468,1.08710670639337,0.236627414524633,965.18,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"LI","Liver","pm25","PM2.5 waitlist-period mean per 5 ug/m3","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",116573,17821,80439,115442197,0.944967658356459,0.895068994623278,0.997648092721081,0.0408514279112091,847.56,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"LU","Lung","no2","NO2 waitlist-period mean per 10-unit increment","observed_waitlist_period_mean",2025,"death_or_deterioration_delist_subdistribution",34120,2765,29002,13628726,1.11611218137904,1.00339086842333,1.24149664963576,0.0431472539496783,82.7200000000003,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"LU","Lung","o3","Ozone waitlist-period mean per 10 ppb","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",26649,2424,22150,9802070,0.877960746076137,0.751548884110982,1.02563530855664,0.10082830310574,55.0899999999992,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
"LU","Lung","pm25","PM2.5 waitlist-period mean per 5 ug/m3","observed_waitlist_period_mean",2023,"death_or_deterioration_delist_subdistribution",26649,2424,22150,9802070,1.04511060168959,0.902063060133885,1.21084236572315,0.556855552233982,55.97,"age + sex + race + listing_year + baseline_organ_score + strata(listing_center)","survival_finegray_weighted_cox_model_based","stratified_baseline_hazard_by_listing_center",FALSE,NA
