organ,organ_label,exposure,exposure_label,subgroup,subgroup_label,subgroup_level,exposure_data_end_year,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment,error
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,<18,2023,10422,10422,117,1683,1.8081072865235925,1.532888776707635,2.132739184509828,2.064532393105151e-12,0.6509653596220429,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,18-39,2023,9924,9924,159,1094,1.939010993885262,1.5498359866057132,2.425910655644374,6.905651943493602e-9,0.6491188138128373,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,40-59,2023,29015,29015,136,3793,1.8197375308197252,1.599149844341133,2.0707532147734544,1.0783269072360613e-19,0.6280105224909034,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,age_group,Age group,60+,2023,21947,21947,128,3323,1.2924387570308626,1.1237500581640065,1.4864497034194537,3.2442540394111427e-4,0.6169996613613274,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,F,2023,20460,20460,164,2721,1.6839035402982423,1.4612585906131774,1.9404718310939753,5.932547911300376e-13,0.613893574712684,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,sex,Sex,M,2023,50848,50848,166,7172,1.6684352394972057,1.5233501706234018,1.8273383244884083,2.7952205329348565e-28,0.6077809125390512,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,White,2023,51442,51442,166,7114,1.6444602517694125,1.5084568949257489,1.7927257508956735,1.4132354936432054e-29,0.606379085135682,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Black,2023,16546,16546,164,2393,2.1497475409371374,1.7590529530380168,2.6272173795471807,7.50040106574688e-14,0.6155975259272466,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Asian,2023,2274,2274,143,244,1.3407303952957472,0.8317165197089199,2.161262822456612,0.22874646695663395,0.5997205728257073,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,pm25,PM2.5 waitlist-period mean per 5 ug/m3,race_group,Race,Other/Unknown,2023,1046,1046,136,142,0.7127812059400106,0.411379798528176,1.2350072836804553,0.227313514848321,0.7719298245614035,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,<18,2023,10422,10422,117,1683,1.0340273311010382,0.8611580501133098,1.2415984746624045,0.7199718905573501,0.6499675939349491,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,18-39,2023,9924,9924,159,1094,1.015564838388715,0.7871753218701143,1.3102188449216596,0.9054109982184527,0.6427619171489888,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,40-59,2023,29015,29015,136,3793,0.9745669329691364,0.8458489831794487,1.1228726708008245,0.7214995742941966,0.6262355638089274,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,age_group,Age group,60+,2023,21947,21947,128,3323,1.0119350393628372,0.8694047957853366,1.1778316945736105,0.8782595880024043,0.6172271052458669,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,F,2023,20460,20460,164,2721,0.914519294355809,0.7831732043090339,1.0678934559398328,0.25865171846232277,0.6086645460634988,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,sex,Sex,M,2023,50848,50848,166,7172,1.058210497704599,0.957744852268377,1.1692148016248742,0.2662767879874975,0.6049574089654419,age + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,White,2023,51442,51442,166,7114,1.0620786798426027,0.9638839645226696,1.1702768836234503,0.2236800233285336,0.6046177904714066,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Black,2023,16546,16546,164,2393,0.924569219293432,0.7545258196220352,1.1329343794929054,0.4494528898164291,0.6039827986568349,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Asian,2023,2274,2274,143,244,0.739457907173168,0.46402520189250296,1.1783799549051084,0.20423850431590734,0.609151239958086,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,o3,Ozone waitlist-period mean per 10 ppb,race_group,Race,Other/Unknown,2023,1046,1046,136,142,0.6241120158879622,0.2974569483305596,1.309486332599878,0.21245956967085208,0.7570175438596491,age + sex + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,<18,2025,11655,11655,119,1839,1.3311497165438815,1.1973861371065215,1.4798564247092327,1.1974036265326328e-7,0.6597394806752935,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
HR,Heart,no2,NO2 waitlist-period mean per 10 ppb,age_group,Age group,18-39,2025,11315,11315,161,1181,1.31361365946891,1.1475348420691345,1.5037284996348217,7.63885336992202e-5,0.6537068774878372,sex + race_group + listing_year + organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center,NA
