organ,organ_label,exposure,subgroup,subgroup_label,modeled_levels,skipped_levels,min_events,max_events
HR,Heart,no2,age_group,Age group,4,0,1181,4095
HR,Heart,no2,race_group,Race,4,0,181,7635
HR,Heart,no2,sex,Sex,2,0,2957,7792
HR,Heart,o3,age_group,Age group,4,0,1094,3793
HR,Heart,o3,race_group,Race,4,0,142,7114
HR,Heart,o3,sex,Sex,2,0,2721,7172
HR,Heart,pm25,age_group,Age group,4,0,1094,3793
HR,Heart,pm25,race_group,Race,4,0,142,7114
HR,Heart,pm25,sex,Sex,2,0,2721,7172
KI,Kidney,no2,age_group,Age group,4,0,629,60079
KI,Kidney,no2,race_group,Race,4,0,2699,80036
KI,Kidney,no2,sex,Sex,2,0,48974,82523
KI,Kidney,o3,age_group,Age group,4,0,523,53428
KI,Kidney,o3,race_group,Race,4,0,2307,71020
KI,Kidney,o3,sex,Sex,2,0,43574,72693
KI,Kidney,pm25,age_group,Age group,4,0,523,53428
KI,Kidney,pm25,race_group,Race,4,0,2307,71020
KI,Kidney,pm25,sex,Sex,2,0,43574,72693
LI,Liver,no2,age_group,Age group,4,0,1118,22384
LI,Liver,no2,race_group,Race,4,0,765,38945
LI,Liver,no2,sex,Sex,2,0,18066,27316
LI,Liver,o3,age_group,Age group,4,0,1054,21051
LI,Liver,o3,race_group,Race,4,0,630,36033
LI,Liver,o3,sex,Sex,2,0,16594,25351
LI,Liver,pm25,age_group,Age group,4,0,1054,21051
LI,Liver,pm25,race_group,Race,4,0,630,36033
LI,Liver,pm25,sex,Sex,2,0,16594,25351
LU,Lung,no2,age_group,Age group,4,0,284,2609
LU,Lung,no2,race_group,Race,4,0,57,4960
LU,Lung,no2,sex,Sex,2,0,2815,3120
LU,Lung,o3,age_group,Age group,4,0,280,2391
LU,Lung,o3,race_group,Race,4,0,51,4691
LU,Lung,o3,sex,Sex,2,0,2640,2956
LU,Lung,pm25,age_group,Age group,4,0,280,2391
LU,Lung,pm25,race_group,Race,4,0,51,4691
LU,Lung,pm25,sex,Sex,2,0,2640,2956
