model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,10641,10641,114,1692,1.3938637822272262,1.2404129040472114,1.5662979940515362,2.400545130882527e-8,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,10226,10226,156,1086,1.3049400886317126,1.1151161637259337,1.5270773488103273,9.051261519077141e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,29893,29893,136,3797,1.313187831579994,1.2063545754308742,1.4294821076082376,3.109790550891058e-10,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,23268,23268,127,3435,1.1739911268632404,1.0688075057064625,1.2895260920184306,8.097842137944843e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,21247,21247,164,2747,1.3371412690442959,1.2110413333811507,1.476371387250306,8.988903703797384e-9,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,52781,52781,166,7263,1.2372584661018433,1.1644036806437676,1.3146716533001197,6.173174600367233e-12,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,52897,52897,166,7107,1.2538143581080112,1.1808207553531862,1.33132013260353,1.4558039015117691e-13,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,17454,17454,162,2480,1.377701012618997,1.2259407002756753,1.5482478718135357,7.407325098693117e-8,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,2436,2436,146,263,1.2221058362848733,0.9074457184059036,1.6458754995342686,0.18665490260694342,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,<18,10641,10641,114,1692,1.0056476225072908,0.8575728478898003,1.1792900663111057,0.9447516679174511,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,18-39,10226,10226,156,1086,1.057998899823491,0.8599640152594789,1.3016378036352718,0.5938989164305488,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,40-59,29893,29893,136,3797,0.9973763468509715,0.8876596868895464,1.1206542236288013,0.964758890196769,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,age_group,Age group,60+,23268,23268,127,3435,0.9608602036255524,0.8473258330608521,1.0896072029058896,0.5337239404330554,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,sex,Sex,Female,21247,21247,164,2747,0.9217980505884592,0.8077172430994507,1.0519914652410884,0.22703480445763993,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,sex,Sex,Male,52781,52781,166,7263,1.0205674811411083,0.9397073324140973,1.108385502204134,0.6288116558157051,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,White,52897,52897,166,7107,1.0268726010908782,0.9465693000935647,1.1139885254750137,0.5232946577931126,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,Black,17454,17454,162,2480,0.9092407529083486,0.7747180246569024,1.067122127583733,0.24413930540963216,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,o3,O3 per 10 ppb,race_group,Race,Asian,2436,2436,146,263,0.9482809409762539,0.6487094116878439,1.386193458607501,0.7839745530704372,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,<18,11217,11217,115,1734,1.335484379832154,1.2184789579279347,1.463725341477056,6.253865989789539e-10,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,18-39,10888,10888,157,1104,1.0988216080545925,0.9775470247312443,1.235141528520975,0.11424960742754599,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,40-59,31995,31995,136,3873,1.2087926461978602,1.1332355833956145,1.2893873815043497,8.510573923212709e-9,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,age_group,Age group,60+,25281,25281,127,3531,1.1197863824074583,1.041575617128868,1.2038699078629087,0.0021938497337480882,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,sex,Sex,Female,22764,22764,165,2811,1.277722551938468,1.186699644596046,1.3757271498028312,8.049547719368313e-11,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,sex,Sex,Male,56617,56617,167,7431,1.1381556231973255,1.0857088925249878,1.1931358686793463,7.59865617784422e-8,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,White,56281,56281,166,7247,1.1731229614595644,1.1185460994491727,1.230362774839031,5.064546240806145e-11,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,Black,18894,18894,164,2545,1.220182983804659,1.1268177220925921,1.3212842545656198,9.597121843327142e-7,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,HR,Heart,no2,NO2 per 10 ppb,race_group,Race,Asian,2660,2660,151,277,1.0273285745087144,0.7975539864837744,1.323301015214195,0.8346574100373279,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,<18,16636,16636,181,549,0.7639290450927901,0.6131361553364824,0.9518074914634838,0.016385115873294356,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,18-39,95454,95454,271,9834,0.7911676047772269,0.7530178750373363,0.8312500932569477,1.5450084042355024e-20,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,40-59,260777,260777,237,55839,0.8927513233136057,0.8746751585984748,0.9112010526916821,1.6009994669342414e-27,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,age_group,Age group,60+,191312,191312,237,57077,0.9743432391343361,0.9541006556400926,0.9950152974267564,0.015246064705769913,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,217410,217410,275,45639,0.9231623258170462,0.9021874610078204,0.9446248331316043,9.223171547647944e-12,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,346769,346769,277,77660,0.9313568103020237,0.9150597787024419,0.9479440887741479,2.8931103853016128e-15,age + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,352387,352387,276,75174,0.9481940511496214,0.9316766411032873,0.9650042933037948,2.9748820955904708e-9,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,161674,161674,273,37751,0.8759252002647905,0.8520552752679653,0.9004638299054252,5.589253792535495e-21,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,38375,38375,265,7852,0.9388190036606094,0.8923738911672435,0.9876814307973922,0.014736964285299137,age + sex + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,<18,16636,16636,181,549,1.0459854508256539,0.8171501483444765,1.3389039524199233,0.721156954225105,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,18-39,95454,95454,271,9834,1.0267523917363142,0.9689649226857124,1.0879862100830475,0.3717165429319348,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,40-59,260777,260777,237,55839,1.0483762448708551,1.0234684807615673,1.07389017978519,1.1772472875116388e-4,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
baseline_prior_year,KI,Kidney,o3,O3 per 10 ppb,age_group,Age group,60+,191312,191312,237,57077,1.0424341151946996,1.0164226834006362,1.0691112096063204,0.001266711079774111,sex + race_group + zcta_svi_proxy + strata(listing_center),NA
