model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,<18,131405,11081,118,1766,1.1202916808784962,1.0413594818808336,1.205206724558529,0.0023102711270862075,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,18-39,166766,10648,160,1137,1.19586401495297,1.0881337808571165,1.3142600362365031,2.0437569967745377e-4,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,40-59,402614,31139,137,3953,1.164996620844809,1.1059295174205817,1.2272184666391157,8.785339152505727e-9,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,60+,222824,23892,128,3486,1.1225401293434814,1.055811310509107,1.1934863071118906,2.1828751305851243e-4,sex + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Female,252188,22002,166,2843,1.1774353078409507,1.1076440733646304,1.2516239986183126,1.6119748899003483e-7,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Male,671421,54758,167,7499,1.1311974525240427,1.0882733628107017,1.1758145704237581,4.2142546148017746e-10,age_interval + race_group + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,White,660575,54998,167,7388,1.1453113821142529,1.1034617751165425,1.1887481665252249,9.081026911257674e-13,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Black,228125,17983,165,2526,1.13519195071395,1.0534598072196342,1.2232652410032314,8.809492718575383e-4,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,HR,Heart,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Asian,22036,2503,146,267,1.074441427495026,0.8806995802993247,1.3108038279355072,0.479105286246623,age_interval + sex + zcta_svi_proxy + organ_score_tv + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,<18,601161,17469,191,574,0.9866712643034536,0.8539209461808227,1.1400589107882442,0.8555783090125476,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,18-39,4274945,101516,274,10221,0.9723459378558078,0.9390974929385906,1.0067715332794693,0.11415551507525928,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,40-59,10109633,274841,240,56790,0.990545530548865,0.9764079808306542,1.00488777985573,0.19525943230110537,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,age_group,Age group,60+,5648182,198303,239,56404,0.9766682488176609,0.9621616785478699,0.9913935355315633,0.0019876902936666126,sex + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Female,8142025,228596,278,46299,0.9867228080567041,0.9708231601023061,1.0028828523587203,0.10682193960530934,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,sex,Sex,Male,12491896,363533,280,77690,0.9848697874304554,0.9726448418403386,0.9972483855032179,0.016741565670211032,age_interval + race_group + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,White,11883104,370277,279,75632,0.9913119251435469,0.9792462334883227,1.0035262830995852,0.16253904196703717,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
time_varying,KI,Kidney,pm25,Monthly PM2.5 per 5 ug/m3,race_group,Race,Black,6790804,169621,277,38114,0.9656287520929298,0.9459510173200463,0.9857158243882665,8.698020357456618e-4,age_interval + sex + zcta_svi_proxy + kidney_no_dialysis_time + kidney_dialysis_years_tv + kidney_diabetes + strata(listing_center),NA
