analysis,model_tier,model_type,organ,organ_label,term,term_type,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,coefficient,std_error,conf_low,conf_high,hazard_ratio,hr_conf_low,hr_conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.16726174209796552,0.020084405037414346,0.1278963082246334,0.20662717597129762,1.1820636206329327,1.1364351576083012,1.2295240901948943,8.226042337920894e-17,0.5374853052334432,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,HR,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.010005428354311844,0.02364509455582914,-0.036338956975113273,0.056349813683736955,1.0100556500092293,0.9643133773355559,1.0579677105947267,0.6721856207799568,0.5126404977795755,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79469,79469,NA,10252,0.07263783474296322,0.016587959624419647,0.04012543387910071,0.10515023560682572,1.075341015228168,1.0409413353134278,1.1108774911736663,1.1925285058384683e-5,0.5184396046540933,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.16659983402556486,0.02304961896789021,0.12142258084850005,0.21177708720262967,1.1812814620674357,1.1291019484265028,1.2358723626053607,4.905991061060474e-13,0.5374935515889404,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.0011259439262361463,0.01923550990656333,-0.036575655490627974,0.03882754334310027,1.0011265780390681,0.9640851528019193,1.0395911837697778,0.9533227595178482,0.5374935515889404,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.18373553956484692,0.025092382161155,0.13455447052898312,0.23291660860071073,1.201697979499045,1.1440269730596335,1.262276211958521,2.436413667193801e-13,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,-0.011185514569679611,0.020478786625156856,-0.05132393635498705,0.028952907215627828,0.988876810701891,0.9499708905769226,1.0293761171461508,0.5849284220156884,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,-0.0450588648330913,0.026023771834656203,-0.09606545762901746,0.005947727962834853,0.955941208857162,0.9084045521143725,1.005965450816276,0.08337150051249402,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.2305567641645583,0.02623704964790145,0.17913214685467146,0.2819813814744451,1.25930094842313,1.1961788049907374,1.3257540361716027,1.5299282079820703e-18,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,age,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.0060939659493416285,7.306663470061859e-4,0.0046618599092095045,0.0075260719894737526,1.006112571935385,1.0046727432837996,1.007554464051476,7.411137351214181e-17,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,sexM,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.023526706348608768,0.023211454777426335,-0.06902115771236439,0.021967745015146846,0.976747888950893,0.9333069332296626,1.0222108125444112,0.31078238202762887,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceBLACK,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.11667780933699512,0.06713802847529671,-0.24826834514857665,0.014912726474586413,0.8898718553840617,0.7801505655671149,1.015024475985654,0.08223203287438324,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceMULTI,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.09007625570409139,0.13612453533130547,-0.3568803449534501,0.17672783354526733,0.9138614954623607,0.6998562340550385,1.1933062709891138,0.5081510228374052,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceMissing,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.07514058794230573,0.309276258693377,-0.6813220549813246,0.5310408790967132,0.9276130659488037,0.5059476593921948,1.7007016124012408,0.8080393197895619,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceNATIVE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.18977203211438937,0.15745015481259952,-0.1188302713183057,0.49837433554708443,1.2089739590028723,0.8879584999982009,1.6460431805653535,0.2280939789560052,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,racePACIFIC,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.10093667310806087,0.20766158739444046,-0.3060800381850424,0.5079533844011641,1.1062065869202768,0.7363276827662136,1.6618864692804638,0.6269222978827383,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,raceWHITE,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.07568800948632967,0.06402483151790214,-0.20117667926141786,0.049800660288758514,0.9271054095356914,0.8177679361545941,1.0510615571846706,0.23713965147902766,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,zcta_svi_proxy,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.1112531376504173,0.058698058296794337,-0.0037950566112995854,0.2263013319121342,1.1176777973793786,0.9962121355149898,1.2539534645490398,0.05804656045674209,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.007601867772751706,0.035484429586083575,-0.07715134976147552,0.0619476142159721,0.9924269533463788,0.9257497310020283,1.0639066096863037,0.8303668581435331,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,age,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.00587269673627272,7.298864680117891e-4,0.0044421192589696136,0.0073032742135758265,1.0058899748261858,1.0044520000959263,1.0073300081628542,8.551507684902306e-16,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,sexM,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.023484589100326306,0.0232120691376945,-0.06898024461020752,0.02201106640955491,0.9767890277505618,0.9333451184926991,1.022255097101417,0.3116621731089791,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,raceBLACK,covariate,NA,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,-0.1243283663090968,0.06714056889849218,-0.25592388135014144,0.0072671487319478645,0.8830898163246226,0.7742008976764768,1.0072936185384513,0.06405998053865829,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
