analysis,model_tier,model_type,organ,organ_label,exposure,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,1.1820636206329327,1.1364359796479302,1.2295232008200903,8.226042337920894e-17,0.5374853052334432,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,1.0100556500092293,0.9643141985345277,1.0579668096414923,0.6721856207799568,0.5126404977795755,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79469,79469,NA,10252,1.075341015228168,1.0409419571959042,1.1108768275101062,1.1925285058384683e-5,0.5184396046540933,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,1.1812814620674357,1.1291028857425516,1.2358713366554548,4.905991061060474e-13,0.5374935515889404,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,1.0011265780390681,0.9640858206969525,1.0395904635664792,0.9533227595178482,0.5374935515889404,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,1.201697979499045,1.144028006932932,1.2622750712227497,2.436413667193801e-13,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.988876810701891,0.9499715912309847,1.0293753579270706,0.5849284220156884,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74114,74114,NA,10020,0.955941208857162,0.9084054035243072,1.0059645079674386,0.08337150051249402,0.5373459549524504,None,model_based,none
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.25930094842313,1.1961799353077667,1.325752783414957,1.5299282079820703e-18,0.5284597803053359,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,0.9924269533463788,0.9257509140998801,1.0639052500272363,0.8303668581435331,0.5170227643364916,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,1.1752248160074383,1.1297073562152393,1.2225762367228232,1.134635626503423e-15,0.5256970029769289,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.191399145447489,1.1207008015269762,1.266557427137559,2.0121657986189247e-8,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0838453303630546,1.033636145005364,1.1364934419390906,8.779060056895024e-4,0.5283917128747013,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.1881476357694802,1.115457532309671,1.265574675408345,8.689008922434517e-8,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0871269985998528,1.0336037248290515,1.1434218769675883,0.00118253082258441,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0129421209874174,0.941112243071685,1.0902543751014966,0.7318538913775493,0.5283050815993484,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.367466788554527,1.2986393854691523,1.4399420183333496,1.5486116281470545e-32,0.5730568858081657,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,HR,Heart,o3_prior_10ppb,Prior-year O3 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.0132306438721654,0.944831872137472,1.0865809758926388,0.7124335070225288,0.5615548963828068,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,1.2681545914293584,1.2185846498107658,1.3197409535834077,1.6606203147710631e-31,0.57421428910137,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,HR,Heart,pm25_prior_5ug,Prior-year PM2.5 per 5 ug/m3,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.2526960523652668,1.1784897146093347,1.331574964259848,4.783094047535942e-13,0.5746947231990117,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,HR,Heart,no2_prior_10ppb,Prior-year NO2 per 10 ppb,previous_365_days_pm25_o3_or_12_complete_months_no2,death_or_deterioration_delist_cause_specific,74028,74028,167,10010,1.140192537659614,1.0872991769158828,1.195658978260448,6.181486931828235e-8,0.5746947231990117,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score,model_based,stratified_baseline_hazard_by_listing_center
