organ,organ_label,outcome,outcome_label,outcome_family,pollutant,exposure,n,estimate,conf_low,conf_high,p_value,measure,adjustment_set
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,565015,0.07340786250550481,0.059504936042427535,0.08731078896858208,4.257033872620329e-25,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,o3,Prior-year O3 per 10 ppb,565015,0.05116030247849519,0.03282793482838704,0.06949267012860334,4.5076063982416476e-8,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_dialysis_years,"Dialysis duration at listing, years",gaussian,no2,Prior-year NO2 per 10 ppb,601017,0.03491723184738593,0.02404166520323754,0.04579279849153432,3.120020596762582e-10,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_diabetes,Diabetes at listing,binomial,pm25,Prior-year PM2.5 per 5 ug/m3,565015,0.9136929590815398,0.9011819281335967,0.9263776795925933,1.0947755272448998e-37,odds_ratio,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_diabetes,Diabetes at listing,binomial,o3,Prior-year O3 per 10 ppb,565015,0.9722563360274444,0.954750990386118,0.9900826419286793,0.0024038407924634824,odds_ratio,age + sex + race + zcta_svi_proxy + listing_center
KI,Kidney,kidney_diabetes,Diabetes at listing,binomial,no2,Prior-year NO2 per 10 ppb,601017,0.9042364851935575,0.8945703544248194,0.9140070617262048,2.839995445353042e-75,odds_ratio,age + sex + race + zcta_svi_proxy + listing_center
LI,Liver,liver_meld_display,MELD/PELD at listing,gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,208809,-0.9411522060883981,-1.0388962903912753,-0.8434081217855209,2.244001689760363e-79,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
LI,Liver,liver_meld_display,MELD/PELD at listing,gaussian,o3,Prior-year O3 per 10 ppb,208809,-0.10189783031422706,-0.22843294032654504,0.02463727969809093,0.11448119494428147,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
LI,Liver,liver_meld_display,MELD/PELD at listing,gaussian,no2,Prior-year NO2 per 10 ppb,222811,-1.0366195334630801,-1.1131871693677065,-0.9600518975584539,6.5599909917835644e-155,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
HR,Heart,organ_score,US-candidate risk score proxy at listing,gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,74084,-0.6006339312625945,-0.6242849357000555,-0.5769829268251334,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
HR,Heart,organ_score,US-candidate risk score proxy at listing,gaussian,o3,Prior-year O3 per 10 ppb,74084,-0.06251866401158686,-0.09427705818164442,-0.030760269841529304,1.142286844520728e-4,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
HR,Heart,organ_score,US-candidate risk score proxy at listing,gaussian,no2,Prior-year NO2 per 10 ppb,79446,-0.6658225320393706,-0.6844045385373979,-0.6472405255413433,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
LU,Lung,organ_score,Continuous lung waitlist urgency score proxy at listing,gaussian,pm25,Prior-year PM2.5 per 5 ug/m3,46810,-0.6742647277154906,-0.6969071934816797,-0.6516222619493015,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
LU,Lung,organ_score,Continuous lung waitlist urgency score proxy at listing,gaussian,o3,Prior-year O3 per 10 ppb,46810,-0.18648632646394186,-0.216370460220293,-0.15660219270759074,2.3960575406263534e-34,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
LU,Lung,organ_score,Continuous lung waitlist urgency score proxy at listing,gaussian,no2,Prior-year NO2 per 10 ppb,50431,-0.5257674496509773,-0.5438574676269006,-0.5076774316750541,0,mean_difference,age + sex + race + zcta_svi_proxy + listing_center
