WL_ORG,exposure,n,people,adverse_events,median_followup_days,mean_prior_exposure
HR,pm25,63342,63342,9332,110,1.8275349996381416
KI,pm25,492197,492197,118004,886,1.8815101325142345
LI,pm25,181559,181559,39358,170,1.8519856658114213
LU,pm25,40175,40175,5267,69,1.802530006484867
HR,o3,79381,79381,10242,89,3.8523300369401814
KI,o3,600141,600141,123941,691,3.8438277610554916
LI,o3,222559,222559,42847,137,3.868885625488275
LU,o3,50401,50401,5675,56,3.86947083303807
HR,no2,79381,79381,10242,89,0.8682661005564789
KI,no2,600141,600141,123941,691,0.9650332004347528
LI,no2,222559,222559,42847,137,0.8996315888516005
LU,no2,50401,50401,5675,56,0.8253796856619426
