organ,organ_label,exposure,exposure_label,exposure_window,endpoint,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
HR,Heart,pm25,Prior-year PM2.5 per 5 ug/m3,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,63342,63342,165,9332,1.253007999656194,1.1887473193562612,1.3207424501723628,4.5896266861337845e-17,0.5289004533165288,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,o3,Prior-year O3 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,1.0074675928541093,0.9407897085043112,1.078871230707773,0.8313661960219458,0.5178064254820709,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,no2,Prior-year NO2 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,79381,79381,168,10242,1.151191792485016,1.1064349845863082,1.1977590744569302,3.425756331313061e-12,0.5232627748183727,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,pm25,Prior-year PM2.5 per 5 ug/m3,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,492197,492197,276,118004,0.9222103700346932,0.909218181407614,0.935388209332616,4.7311684282930574e-29,0.6431255063344227,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,o3,Prior-year O3 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,600141,600141,278,123941,1.0511877876137607,1.0340389946948236,1.0686209809277365,2.705726815358532e-9,0.6411295763718521,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,no2,Prior-year NO2 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,600141,600141,278,123941,0.911746650502006,0.9017834744216888,0.921819902759613,5.034842586277223e-61,0.64089921285472,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,pm25,Prior-year PM2.5 per 5 ug/m3,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,181559,181559,158,39358,1.0179800065595868,0.9943469051399816,1.0421748067986103,0.13703339452933638,0.5530960945658285,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,o3,Prior-year O3 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,222559,222559,161,42847,1.0230967087902632,0.994993887107834,1.0519932726220136,0.10809723477827224,0.5487344828860454,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,no2,Prior-year NO2 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,222559,222559,161,42847,0.986293216296141,0.9691799141295564,1.0037086967340405,0.1222381658906238,0.5485358053347313,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,pm25,Prior-year PM2.5 per 5 ug/m3,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,40175,40175,82,5267,1.0975238296230985,1.0261972615684016,1.1738080013481516,0.00664283891594836,0.5293979915827387,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,o3,Prior-year O3 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,50401,50401,84,5675,0.9575729756073932,0.8809248524126297,1.040890152096759,0.3084521259850665,0.5199898843099352,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,no2,Prior-year NO2 per 10 ppb,calendar_year_before_listing,death_or_deterioration_delist_cause_specific,50401,50401,84,5675,1.1166248790871192,1.0624650814041114,1.17354550508948,1.3704253608030084e-5,0.5301374120258768,age + sex + race + zcta_svi_proxy + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
