pollutant,unit_label,quartile,min_exposure,median_exposure,max_exposure,n
NO2,ppb,Q1 lowest,0.19122242089361,2.884808972839032,4.0112857601414005,238352
NO2,ppb,Q2,4.011322413217117,5.215346673460978,6.710932382036907,238349
NO2,ppb,Q3,6.710945184308674,8.755923850934797,11.474698016719724,238350
NO2,ppb,Q4 highest,11.474716566203849,15.613503009308909,51.97043154990838,238350
O3,ppb,Q1 lowest,15.100548170221181,34.19738971183706,35.85887303170449,223619
O3,ppb,Q2,35.85888136013741,36.93592383805939,37.83774555855764,223619
O3,ppb,Q3,37.8377524778581,38.80294885054594,40.24027457222956,223617
O3,ppb,Q4 highest,40.24029283707001,43.52249210803169,63.46023829088066,223619
PM2.5,ug/m3,Q1 lowest,2.2072319135273974,6.552603269653693,7.3589781562384315,223619
PM2.5,ug/m3,Q2,7.358979091564528,8.005993150684931,8.62426614481409,223621
PM2.5,ug/m3,Q3,8.624266144814094,9.318794520547947,10.23634703196347,223615
PM2.5,ug/m3,Q4 highest,10.236363636363636,11.749107513491076,32.6593607305936,223619
