WL_ORG,cohort_n,excluded_followup,excluded_outcome,excluded_exposure,aj_n,pollutant,organ,reported_cohort_n,time_zero_total
HR,83624,71,0,9439,74114,PM2.5,Heart,83624,74114
KI,643225,1005,0,77495,564725,PM2.5,Kidney,643225,564725
LI,238078,307,0,28979,208792,PM2.5,Liver,238078,208792
LU,52613,36,0,5734,46843,PM2.5,Lung,52613,46843
HR,83624,71,0,4084,79469,NO2,Heart,83624,79469
KI,643225,1005,0,41512,600708,NO2,Kidney,643225,600708
LI,238078,307,0,15005,222766,NO2,Liver,238078,222766
LU,52613,36,0,2119,50458,NO2,Lung,52613,50458
HR,83624,71,0,9439,74114,O3,Heart,83624,74114
KI,643225,1005,0,77495,564725,O3,Kidney,643225,564725
LI,238078,307,0,28979,208792,O3,Liver,238078,208792
LU,52613,36,0,5734,46843,O3,Lung,52613,46843
