organ,pollutant,quartile,horizon,time,n_risk
Heart,PM2.5,Q1 lowest,1,0,19389
Heart,PM2.5,Q1 lowest,1,0.5,7132
Heart,PM2.5,Q1 lowest,1,1,4712
Heart,PM2.5,Q1 lowest,3,0,19389
Heart,PM2.5,Q1 lowest,3,1,4712
Heart,PM2.5,Q1 lowest,3,2,2432
Heart,PM2.5,Q1 lowest,3,3,1401
Heart,PM2.5,Q1 lowest,5,0,19389
Heart,PM2.5,Q1 lowest,5,1,4712
Heart,PM2.5,Q1 lowest,5,2,2432
Heart,PM2.5,Q1 lowest,5,3,1401
Heart,PM2.5,Q1 lowest,5,4,867
Heart,PM2.5,Q1 lowest,5,5,482
Heart,PM2.5,Q1 lowest,10,0,19389
Heart,PM2.5,Q1 lowest,10,2,2432
Heart,PM2.5,Q1 lowest,10,4,867
Heart,PM2.5,Q1 lowest,10,6,290
Heart,PM2.5,Q1 lowest,10,8,92
Heart,PM2.5,Q1 lowest,10,10,44
Heart,PM2.5,Q2,1,0,19661
Heart,PM2.5,Q2,1,0.5,7579
Heart,PM2.5,Q2,1,1,5064
Heart,PM2.5,Q2,3,0,19661
Heart,PM2.5,Q2,3,1,5064
Heart,PM2.5,Q2,3,2,2636
Heart,PM2.5,Q2,3,3,1538
Heart,PM2.5,Q2,5,0,19661
Heart,PM2.5,Q2,5,1,5064
Heart,PM2.5,Q2,5,2,2636
Heart,PM2.5,Q2,5,3,1538
Heart,PM2.5,Q2,5,4,948
Heart,PM2.5,Q2,5,5,615
Heart,PM2.5,Q2,10,0,19661
Heart,PM2.5,Q2,10,2,2636
Heart,PM2.5,Q2,10,4,948
Heart,PM2.5,Q2,10,6,412
Heart,PM2.5,Q2,10,8,199
Heart,PM2.5,Q2,10,10,77
Heart,PM2.5,Q3,1,0,18644
Heart,PM2.5,Q3,1,0.5,7492
Heart,PM2.5,Q3,1,1,4965
Heart,PM2.5,Q3,3,0,18644
Heart,PM2.5,Q3,3,1,4965
Heart,PM2.5,Q3,3,2,2724
Heart,PM2.5,Q3,3,3,1640
Heart,PM2.5,Q3,5,0,18644
Heart,PM2.5,Q3,5,1,4965
Heart,PM2.5,Q3,5,2,2724
Heart,PM2.5,Q3,5,3,1640
Heart,PM2.5,Q3,5,4,1065
Heart,PM2.5,Q3,5,5,728
