analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value,convergence_note
recent_2015_2019_3yr_cause_specific,HR,pm25,20504,20504,2531,1.1367631336824093,0.9728221504373666,1.3283316190101997,0.1067013627609347,
recent_2015_2019_3yr_cause_specific,HR,no2,20504,20504,2531,1.0275104270212698,0.9124757279548088,1.1570474099117303,0.6541599322790683,
recent_2015_2019_3yr_cause_specific,HR,o3,20504,20504,2531,1.050642439338771,0.8864626516304904,1.2452296025211982,0.5687875763276821,
recent_2015_2019_3yr_cause_specific,KI,pm25,145305,145305,16667,0.8663134482888779,0.8182633785099703,0.9171851147155081,8.257556416333161e-7,Loglik converged before variable  6 ; coefficient may be infinite. 
recent_2015_2019_3yr_cause_specific,KI,no2,145305,145305,16667,0.8100281045726668,0.7729022579720609,0.8489372665557743,1.3491261533816172e-18,Loglik converged before variable  6 ; coefficient may be infinite. 
recent_2015_2019_3yr_cause_specific,KI,o3,145305,145305,16667,1.1317891338057537,1.0678248945551077,1.1995849225209012,3.0346758967188478e-5,Loglik converged before variable  6 ; coefficient may be infinite. 
recent_2015_2019_3yr_cause_specific,LI,pm25,56090,56090,9926,1.019684296993955,0.9526241040386252,1.0914652076595976,0.5743764640968162,
recent_2015_2019_3yr_cause_specific,LI,no2,56090,56090,9926,0.9224687356723384,0.8723729153013504,0.9754412973710594,0.004614487603280154,
recent_2015_2019_3yr_cause_specific,LI,o3,56090,56090,9926,1.0389602421463129,0.9687082845949073,1.1143069610601322,0.2846345024804945,
recent_2015_2019_3yr_cause_specific,LU,pm25,13532,13532,1436,1.0817020122248269,0.8999475492548284,1.3001638197915917,0.40272313948250954,
recent_2015_2019_3yr_cause_specific,LU,no2,13532,13532,1436,1.212729599035365,1.0520727619410384,1.3979195485139846,0.007812574613226054,
recent_2015_2019_3yr_cause_specific,LU,o3,13532,13532,1436,0.9453761149186842,0.7818481666969811,1.143106854665208,0.5621241237035097,
