term,estimate,std.error,statistic,p.value,conf.low,conf.high,pollutant,era_definition,status,era,HR (95% CI),interaction_P
pm25_interval_5ug:eraPre-CAS,1.08682167875398,0.0230067355179812,3.61883352082315,0.000295933929557656,1.03890281707026,1.13695077345211,pm25,listing_era,OK,Pre-CAS,1.09 (1.04-1.14),0.21362691265715
pm25_interval_5ug:eraPost-CAS,0.943608745472805,0.115949277820138,-0.500595298078198,0.616655972228111,0.751788629861906,1.18437208167982,pm25,listing_era,OK,Post-CAS,0.94 (0.75-1.18),0.21362691265715
pm25_interval_5ug:eraPre-CAS,1.0894754342214,0.0234268823723945,3.65803379346565,0.000254157542116062,1.04058232222898,1.14066585258664,pm25,calendar_era,OK,Pre-CAS,1.09 (1.04-1.14),0.115315858721231
pm25_interval_5ug:eraPost-CAS,0.932806604903967,0.100344466808065,-0.693186031025221,0.48819281338486,0.76626369152177,1.13554664246772,pm25,calendar_era,OK,Post-CAS,0.93 (0.77-1.14),0.115315858721231
no2_interval_10ppb:eraPre-CAS,1.11175525376542,0.0267227154264821,3.96442032100268,7.35745161311537e-05,1.05502505584708,1.17153591511874,no2,listing_era,OK,Pre-CAS,1.11 (1.06-1.17),0.428293667939662
no2_interval_10ppb:eraPost-CAS,0.919638176706066,0.239154349545185,-0.350296670935427,0.726116063401363,0.575504124324093,1.46955397938901,no2,listing_era,OK,Post-CAS,0.92 (0.58-1.47),0.428293667939662
no2_interval_10ppb:eraPre-CAS,1.09806835774894,0.0269341903311523,3.47337702010756,0.00051395283658484,1.04160475207904,1.15759275856104,no2,calendar_era,OK,Pre-CAS,1.10 (1.04-1.16),0.420523386469057
no2_interval_10ppb:eraPost-CAS,0.918063678205566,0.221637296727761,-0.385713622176952,0.699708773056077,0.594586160650161,1.41752528568562,no2,calendar_era,OK,Post-CAS,0.92 (0.59-1.42),0.420523386469057
o3_interval_10ppb:eraPre-CAS,0.97439568509326,0.0144335294994785,-1.79705250248807,0.0723272851433373,0.947217055964206,1.0023541543621,o3,listing_era,OK,Pre-CAS,0.97 (0.95-1.00),0.804175237246161
o3_interval_10ppb:eraPost-CAS,0.955274680488905,0.0786273605750019,-0.581939365303914,0.56060752371663,0.818842803037193,1.11443821915319,o3,listing_era,OK,Post-CAS,0.96 (0.82-1.11),0.804175237246161
o3_interval_10ppb:eraPre-CAS,0.982457727571611,0.0145202186285729,-1.21884952213588,0.222901311430584,0.954891968302639,1.01081925338727,o3,calendar_era,OK,Pre-CAS,0.98 (0.95-1.01),0.232654367417703
o3_interval_10ppb:eraPost-CAS,0.902758650736162,0.0693969188316295,-1.47412936977692,0.140446762176076,0.787954054126868,1.03429023203903,o3,calendar_era,OK,Post-CAS,0.90 (0.79-1.03),0.232654367417703
