CAN_DGN,diagnosis_group,N
100,A,3
103,A,80
106,D,69
109,A,14
111,A,24
113,A,57
114,A,28
116,A,2
200,B,37
203,B,5
206,B,11
208,B,183
209,B,10
210,B,4
212,B,22
213,D,17
214,A,3
215,D,11
216,B,28
217,D,7
218,B,7
219,D,624
220,B,321
300,C,28
302,C,19
303,C,8
400,D,31
401,D,7
402,D,209
403,D,126
404,D,49
405,D,5
406,D,5
412,A,1
413,D,106
416,D,3
417,D,81
418,D,51
420,D,1763
422,D,42
424,D,38
432,D,71
434,D,562
437,D,1
438,D,167
440,D,1
446,D,2
447,D,169
448,D,122
449,D,32
999,,12
1500,B,33
1501,B,30
1502,B,6
1517,B,8
1518,D,25
1519,D,86
1520,D,22
1521,D,1335
1522,D,18
1523,D,45
1524,D,33
1525,D,2
1548,B,31
1549,B,8
1550,D,44
1551,D,380
1552,D,75
1553,D,29
1554,D,86
1555,D,243
1556,D,264
1557,D,928
1599,D,134
1601,B,1926
1602,C,4539
1603,A,4
1604,D,18068
1605,A,661
1605,D,868
1606,A,1137
1607,A,10903
1608,A,967
1609,D,434
1610,D,203
1611,A,241
1612,D,470
1613,D,5120
1614,B,62
1615,B,409
1616,,278
1617,,472
1620,,442
