term,estimate,std.error,statistic,p.value,conf.low,conf.high
no2_prior_10ppb,1.2178223108991741,0.020342042743038,9.68753606377554,3.406473389106909e-22,1.1702233189993212,1.2673573982374768
age,1.0037524800569928,7.247148088235806e-4,5.16818067149282,2.363837450714893e-7,1.0023277471494447,1.0051792381143623
sexM,0.9579129523718286,0.022986853911969977,-1.870563462786769,0.0614056128971953,0.9157134645801395,1.002057149768391
raceBLACK,0.8589583507837508,0.06568851996973546,-2.314481190066982,0.02064134187307072,0.7551929668091832,0.9769813555050834
raceMULTI,0.8583202094578998,0.13440421336705358,-1.136705768323142,0.25566130713138646,0.6595447450537254,1.1170031866508792
raceMissing,0.8931184509493139,0.2515276214407543,-0.44939821087785425,0.653144421717649,0.5455170916044225,1.4622100383328034
raceNATIVE,1.2785768570681337,0.1515720531715486,1.6213254609404435,0.10494785734593774,0.9499669007550708,1.7208586721609527
racePACIFIC,1.062490029869693,0.2038638188168264,0.29733200561114753,0.7662130489646275,0.7125177146288466,1.5843606978396911
raceWHITE,0.9174466991663303,0.06263536873784813,-1.3755933113957615,0.16894757863576013,0.8114570166734494,1.037280383946596
zcta_svi_proxy,1.0175605743495437,0.05906262056750928,0.2947408856162853,0.768191827625121,0.9063294206697728,1.1424428015427284
concurrent_listings,0.3691991614310727,0.22426265799142528,-4.443089440719872,8.867628094506957e-6,0.2378855078739727,0.5729984227270403
no_open_listing,9.586529854489537e-4,0.6205980686240097,-11.198844711831265,4.1308521761978655e-29,2.8405824228488905e-4,0.003235306742440828
