term,estimate,std.error,statistic,p.value,conf.low,conf.high
o3_prior_10ppb,1.0328819078089202,0.014478266665791321,2.2345813008189648,0.025444849590696747,1.00398389744159,1.0626116994481596
age,1.020677797584995,4.816211453851507e-4,42.49587926372255,0,1.0197147730698566,1.021641731586042
sexM,0.9163279400433706,0.010087464899346862,-8.662331527646272,4.6221179448084144e-18,0.8983890777039202,0.9346250021762292
raceBLACK,1.2788540355965987,0.03050512978915482,8.063050179911519,7.441395969813769e-16,1.2046335785444962,1.3576473987532107
raceMULTI,1.1502474976571686,0.08047401351676746,1.739407896495069,0.08196304024960138,0.9824075526993286,1.3467621479814813
raceMissing,1.4947633702996321,0.13486433200814366,2.980535383919209,0.002877449934440607,1.1475608387250251,1.9470144482029468
raceNATIVE,1.3207790892697533,0.0564403495212532,4.9294836759728335,8.244722396920437e-7,1.182464392990576,1.4752726703595056
racePACIFIC,1.293820427679883,0.12869754186971605,2.001587673404835,0.045329095827868926,1.005371240103948,1.6650280337327725
raceWHITE,1.1550397651921265,0.025457687298398726,5.661738650075232,1.4984692406179985e-8,1.0988219175924983,1.2141338262510382
zcta_svi_proxy,1.4096412708365489,0.02825687977873595,12.150501288975152,5.701493517222986e-34,1.3336943355826518,1.4899129878793256
concurrent_listings,0.751491659614786,0.042687161349317694,-6.692765673261283,2.1899166592163356e-11,0.6911762193120814,0.8170705222362301
no_open_listing,0.019436093894080082,0.13230164921268267,-29.785142172936595,6.084964701913219e-195,0.014996628061267014,0.025189778950054274
