term,estimate,std.error,statistic,p.value,conf.low,conf.high
o3_prior_10ppb,0.9434131454634498,0.043028994464736035,-1.353760988797301,0.17581264338435734,0.8671127595255534,1.0264274781520057
age,1.0003389116106505,0.0010950449692632943,0.3094431759375041,0.7569844312492255,0.9981942378457455,1.0024881933219687
sexM,1.1410539690502384,0.027969518355510762,4.717720479317583,2.385018698575684e-6,1.080185862136845,1.2053519731406706
raceBLACK,0.6512890456009309,0.08304359864605873,-5.163573590806287,2.422792669220527e-7,0.5534608863597157,0.7664090297504458
raceMULTI,0.4912084551441424,0.26322870507746166,-2.7006427313724086,0.006920563500111489,0.2932278078978103,0.8228610653774789
raceMissing,0.2208084873141232,0.7122791229127293,-2.1206005873351423,0.03395542866920742,0.05466667681181841,0.8918849821032225
raceNATIVE,0.7970935839647023,0.219223920899646,-1.0344819391631215,0.300910915835379,0.5186872511894514,1.224935026146668
racePACIFIC,1.034519050560061,0.41823771290662104,0.08114197314375371,0.9353290459764534,0.45575758575679703,2.348243231529644
raceWHITE,0.6563423497778652,0.0726731081300818,-5.794065540064521,6.870262707098816e-9,0.5692079612745037,0.7568152756461201
zcta_svi_proxy,1.2346714581281795,0.08063138654602381,2.6144274321926826,0.008937714467620763,1.054187465414034,1.4460555257291443
concurrent_listings,0.6523514742791356,0.1760668461318585,-2.426190965003515,0.015258239117558295,0.4619694717200193,0.9211917064772576
no_open_listing,0.0029134587461742316,0.4833600165336082,-12.078811095905978,1.3668170875508046e-33,0.0011297232870120292,0.007513558375971357
