analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value,intervals
separate_spells_model_based,HR,pm25,77253,74225,10375,1.3006735976685415,1.2363233116672048,1.3683732982359353,3.1664331345117578e-24,NA
separate_spells_person_clustered,HR,pm25,77253,74225,10375,1.3006735976685415,1.235381203466137,1.3694168269077114,1.461659686253404e-23,NA
updated_concurrent_listing_count,HR,pm25,74028,74028,10010,1.3143887666241885,1.2481799583110116,1.3841095735630948,3.5195598739190586e-25,83756
separate_spells_model_based,HR,no2,82909,79580,10627,1.205376720962074,1.1589686449912224,1.25364309527829,1.1122105180938681e-20,NA
separate_spells_person_clustered,HR,no2,82909,79580,10627,1.205376720962074,1.1584488288079293,1.2542056267883523,2.986864240406483e-20,NA
updated_concurrent_listing_count,HR,no2,79381,79381,10242,1.2178223108991741,1.1702233189993212,1.2673573982374768,3.406473389106909e-22,89184
separate_spells_model_based,HR,o3,77253,74225,10375,0.9987948998226536,0.9321833434871621,1.070166356094608,0.97268421397656335,NA
separate_spells_person_clustered,HR,o3,77253,74225,10375,0.9987948998226536,0.9310148348742797,1.0715095125701786,0.9731715799815536,NA
updated_concurrent_listing_count,HR,o3,74028,74028,10010,1.0003273339858414,0.9322601744470419,1.0733642845064646,0.9927373677918868,83756
separate_spells_model_based,KI,pm25,606201,568542,127854,0.9606401461031097,0.9474941907626269,0.973968494268265,1.1179640928107602e-8,NA
separate_spells_person_clustered,KI,pm25,606201,568542,127854,0.9606401461031097,0.9473955723393425,0.974069878779696,1.4366498617749075e-8,NA
updated_concurrent_listing_count,KI,pm25,564179,564179,123299,0.9552151668530814,0.9419538573251681,0.9686631758982029,1.3315965131658836e-10,793947
separate_spells_model_based,KI,no2,646692,604663,128597,0.9254940424832577,0.9153634090096029,0.9357367950710997,3.0209026236443135e-43,NA
separate_spells_person_clustered,KI,no2,646692,604663,128597,0.9254940424832577,0.9152333245276819,0.9358697937643718,3.399490086256099e-42,NA
updated_concurrent_listing_count,KI,no2,600141,600141,123941,0.9187857011311149,0.9086360369277825,0.9290487393139659,1.678574082368994e-50,831958
separate_spells_model_based,KI,o3,606201,568542,127854,1.0550434276139504,1.037814348977765,1.0725585315406363,1.7907555931182465e-10,NA
separate_spells_person_clustered,KI,o3,606201,568542,127854,1.0550434276139504,1.0376709009884788,1.072706802408206,2.529246337980237e-10,NA
updated_concurrent_listing_count,KI,o3,564179,564179,123299,1.0611321930981166,1.0435916403792838,1.0789675651483601,3.0111282434275396e-12,793947
separate_spells_model_based,LI,pm25,221079,209513,43036,1.0465778666956336,1.0234841864129618,1.070192627886128,6.36225460676792e-5,NA
separate_spells_person_clustered,LI,pm25,221079,209513,43036,1.0465778666956336,1.0235536503063696,1.0701199988191443,6.0422097016076215e-5,NA
updated_concurrent_listing_count,LI,pm25,208592,208592,42101,1.0368189274365702,1.013641405829874,1.0605264170425406,0.001720976338781487,248378
separate_spells_model_based,LI,no2,235946,223489,43842,1.0144904572473072,0.9969231339901954,1.032367343835731,0.10648416609540476,NA
separate_spells_person_clustered,LI,no2,235946,223489,43842,1.0144904572473072,0.9968493596060606,1.0324437468190488,0.10796891917703237,NA
updated_concurrent_listing_count,LI,no2,222559,222559,42847,1.00675389022911,0.9891521157462442,1.0246688849538512,0.45448052916254156,262908
separate_spells_model_based,LI,o3,221079,209513,43036,1.0329638485827548,1.0043631950876788,1.0623789458809754,0.02358237185494905,NA
separate_spells_person_clustered,LI,o3,221079,209513,43036,1.0329638485827548,1.0041127526097293,1.0626439209199203,0.02483653646488216,NA
updated_concurrent_listing_count,LI,o3,208592,208592,42101,1.0328819078089202,1.00398389744159,1.0626116994481596,0.025444849590696747,248378
separate_spells_model_based,LU,pm25,49165,46934,5791,1.1423095178123324,1.0699510954844766,1.2195613799468044,6.74702744112472e-5,NA
separate_spells_person_clustered,LU,pm25,49165,46934,5791,1.1423095178123324,1.070688416714393,1.2187215385115338,5.6389482942968065e-5,NA
updated_concurrent_listing_count,LU,pm25,46788,46788,5582,1.1293433812116866,1.0561833469714867,1.2075710872963394,3.7141628134338675e-4,53309
separate_spells_model_based,LU,no2,52926,50548,5893,1.128716155476783,1.0737377169205915,1.1865096471492473,2.009647512399839e-6,NA
separate_spells_person_clustered,LU,no2,52926,50548,5893,1.128716155476783,1.0743021568034636,1.1858862532911767,1.563053440543134e-6,NA
updated_concurrent_listing_count,LU,no2,50401,50401,5675,1.1321106290574552,1.0761964942711628,1.1909298006892883,1.5747332762858776e-6,56957
separate_spells_model_based,LU,o3,49165,46934,5791,0.9802173017225269,0.9023096532348532,1.064851689385736,0.6363009260859472,NA
separate_spells_person_clustered,LU,o3,49165,46934,5791,0.9802173017225269,0.9024736262061519,1.0646582134874596,0.635559208325793,NA
updated_concurrent_listing_count,LU,o3,46788,46788,5582,0.9434131454634498,0.8671127595255534,1.0264274781520057,0.17581264338435734,53309
