file,variable,label
Supplement2603/Thoracic Registration/ColumnDescriptions.sas7bdat,ColumnId,ColumnId
Supplement2603/Thoracic Registration/ColumnDescriptions.sas7bdat,TableId,TableId
Supplement2603/Thoracic Registration/ColumnDescriptions.sas7bdat,ColumnName,ColumnName
Supplement2603/Thoracic Registration/ColumnDescriptions.sas7bdat,ColumnDescription,ColumnDescription
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,JustId,JustId
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,JustAuditId,JustAuditId
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,RequestedCandStatCd,RequestedCandStatCd
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,RequestedCandStat_descrip,RequestedCandStat_descrip
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,AgeGroup,AgeGroup
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ExtensionNumber,ExtensionNumber
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,SurgicalPhysicianNpi,SurgicalPhysicianNpi
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,SurgicalPhysicianName,SurgicalPhysicianName
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,HospitalPhoneNumber,HospitalPhoneNumber
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,Exception,Exception
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ThorSupportDevicePrimary,ThorSupportDevicePrimary
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ThorSupportDeviceSecondary,ThorSupportDeviceSecondary
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormAddDt,FormAddDt
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormEffectiveDt,FormEffectiveDt
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormExpirationDt,FormExpirationDt
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,Comments,Comments
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormReceiptDt,FormReceiptDt
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormStatus,FormStatus
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,FormStatus_descrip,FormStatus_descrip
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ApplicationStatus,ApplicationStatus
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ApplicationStatus_descrip,ApplicationStatus_descrip
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,StatusType,StatusType
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,descrip,descrip
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,AdmittedToHospital,AdmittedToHospital
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,IsActiveForm,IsActiveForm
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ChangeUserId,ChangeUserId
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ChangeRequestorId,ChangeRequestorId
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,ChangeDate,ChangeDate
Supplement2603/Thoracic Registration/JustFormHR.sas7bdat,DeviceRecallException,DeviceRecallException
Supplement2603/Thoracic Registration/JustFormHRDataLink.sas7bdat,WlregAuditId,WlregAuditId
Supplement2603/Thoracic Registration/JustFormHRDataLink.sas7bdat,JustId,JustId
Supplement2603/Thoracic Registration/JustFormHRDataLink.sas7bdat,InitialFormJustId,InitialFormJustId
Supplement2603/Thoracic Registration/JustFormHRDataLink.sas7bdat,ChangeDate,ChangeDate
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,JustId,JustId
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,CriteriaEcmoSupport,CriteriaEcmoSupport
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,EcmoWithHemo,EcmoWithHemo
Supplement2603/Thoracic Registration/JustFormHRStat1.sas7bdat,EcmoSystolicBloodPressure,EcmoSystolicBloodPressure
