Organ	Pollutant	Primary baseline	Separate spells	Separate spells (clustered SE)	Concurrent listings	Recent cohort: Fine-Gray	Recent cohort: cause-specific
Heart	PM2.5	1.26 (1.20-1.33)	1.30 (1.24-1.37)	1.30 (1.24-1.37)	1.31 (1.25-1.38)	1.20 (1.03-1.41)	1.14 (0.97-1.33)
Heart	NO2	1.18 (1.13-1.22)	1.21 (1.16-1.25)	1.21 (1.16-1.25)	1.22 (1.17-1.27)	1.06 (0.94-1.19)	1.03 (0.91-1.16)
Heart	O3	0.99 (0.93-1.06)	1.00 (0.93-1.07)	1.00 (0.93-1.07)	1.00 (0.93-1.07)	1.04 (0.88-1.23)	1.05 (0.89-1.25)
Kidney	PM2.5	0.93 (0.92-0.94)	0.96 (0.95-0.97)	0.96 (0.95-0.97)	0.96 (0.94-0.97)	0.91 (0.85-0.96) [a]	0.87 (0.82-0.92) [a]
Kidney	NO2	0.90 (0.89-0.91)	0.93 (0.92-0.94)	0.93 (0.92-0.94)	0.92 (0.91-0.93)	0.85 (0.81-0.89) [a]	0.81 (0.77-0.85) [a]
Kidney	O3	1.05 (1.03-1.07)	1.06 (1.04-1.07)	1.06 (1.04-1.07)	1.06 (1.04-1.08)	1.09 (1.03-1.16) [a]	1.13 (1.07-1.20) [a]
Liver	PM2.5	1.03 (1.00-1.05)	1.05 (1.02-1.07)	1.05 (1.02-1.07)	1.04 (1.01-1.06)	1.02 (0.95-1.09)	1.02 (0.95-1.09)
Liver	NO2	1.00 (0.98-1.01)	1.01 (1.00-1.03)	1.01 (1.00-1.03)	1.01 (0.99-1.02)	0.94 (0.89-0.99)	0.92 (0.87-0.98)
Liver	O3	1.03 (1.01-1.06)	1.03 (1.00-1.06)	1.03 (1.00-1.06)	1.03 (1.00-1.06)	1.03 (0.96-1.11)	1.04 (0.97-1.11)
Lung	PM2.5	1.15 (1.08-1.23)	1.14 (1.07-1.22)	1.14 (1.07-1.22)	1.13 (1.06-1.21)	1.09 (0.92-1.30)	1.08 (0.90-1.30)
Lung	NO2	1.13 (1.08-1.19)	1.13 (1.07-1.19)	1.13 (1.07-1.19)	1.13 (1.08-1.19)	1.24 (1.07-1.42)	1.21 (1.05-1.40)
Lung	O3	0.97 (0.89-1.06)	0.98 (0.90-1.06)	0.98 (0.90-1.06)	0.94 (0.87-1.03)	0.96 (0.79-1.17)	0.95 (0.78-1.14)
