model,organ,pollutant,subgroup,subgroup_level,n_before,people_before,adverse_events_before,hazard_ratio_before,conf_low_before,conf_high_before,p_value_before,n_after,people_after,adverse_events_after,hazard_ratio_after,conf_low_after,conf_high_after,p_value_after,n_change,people_change,adverse_events_change,hazard_ratio_change,conf_low_change,conf_high_change,p_value_change,hr_relative_change_percent,direction_changed,significance_changed
baseline_prior_year,HR,pm25,age_group,<18,9300,9300,1547,1.347522124839094,1.1932317129956944,1.5217630047496224,1.5288353154686438e-6,10641,10641,1692,1.3938637822272262,1.2404129040472114,1.5662979940515362,2.400545130882527e-8,1341,1341,145,0.04634165738813212,0.04718119105151697,0.0445349893019138,-1.5048298641598185e-6,3.4390275702275153,FALSE,FALSE
baseline_prior_year,HR,pm25,age_group,18-39,8763,8763,1025,1.2931942361764834,1.100599937787545,1.5194906660106515,0.0017780648452735,10226,10226,1086,1.3049400886317126,1.1151161637259337,1.5270773488103273,9.05126151907714e-4,1463,1463,61,0.011745852455229189,0.014516225938388638,0.007586682799675781,-8.729386933657861e-4,0.9082821533412888,FALSE,FALSE
baseline_prior_year,HR,pm25,age_group,40-59,25694,25694,3581,1.314946460557718,1.207250303183389,1.43224995642897,3.3857053232457505e-10,29893,29893,3797,1.313187831579994,1.2063545754308742,1.4294821076082376,3.109790550891058e-10,4199,4199,216,-0.0017586289777238306,-8.957277525147855e-4,-0.0027678488207323326,-2.7591477235469264e-11,-0.1337414891384947,FALSE,FALSE
baseline_prior_year,HR,pm25,age_group,60+,19585,19585,3179,1.1707876059354063,1.0627631237371071,1.2897922289511408,0.00141085202623494,23268,23268,3435,1.1739911268632404,1.0688075057064623,1.2895260920184306,8.097842137944843e-4,3683,3683,256,0.003203520927834047,0.006044381969355195,-2.6613693271015926e-4,-6.010678124404557e-4,0.2736210147419982,FALSE,FALSE
baseline_prior_year,HR,pm25,sex,Female,18211,18211,2545,1.341815626643018,1.2139616615623636,1.4831351210763923,8.663397057825653e-9,21247,21247,2747,1.337141269044296,1.2110413333811507,1.476371387250306,8.988903703797384e-9,3036,3036,202,-0.004674357598721812,-0.0029203281812129056,-0.0067637338260864155,3.2550664597173114e-10,-0.34836064701498914,FALSE,FALSE
baseline_prior_year,HR,pm25,sex,Male,45131,45131,6787,1.2281104532317595,1.1536640070998994,1.3073609612980792,1.1935529395009588e-10,52781,52781,7263,1.237258466101843,1.1644036806437676,1.3146716533001197,6.173174600367233e-12,7650,7650,476,0.0091480128700836,0.010739673543868289,0.007310692002040486,-1.1318211934972865e-10,0.7448851889511054,FALSE,FALSE
baseline_prior_year,HR,pm25,race_group,White,45792,45792,6665,1.2470325823918145,1.1725918400802655,1.326199115832453,2.0661239250258364e-12,52897,52897,7107,1.2538143581080112,1.1808207553531862,1.33132013260353,1.4558039015117694e-13,7105,7105,442,0.0067817757161967585,0.00822891527292069,0.005121016771076903,-1.9205435348746594e-12,0.5438330811845526,FALSE,FALSE
baseline_prior_year,HR,pm25,race_group,Black,14643,14643,2298,1.3689373714713975,1.217634133569498,1.539041552257913,1.4799205011296406e-7,17454,17454,2480,1.377701012618997,1.2259407002756753,1.5482478718135355,7.407325098693117e-8,2811,2811,182,0.008763641147599532,0.008306566706177243,0.009206319555622455,-7.391879912603289e-8,0.6401783843609898,FALSE,FALSE
baseline_prior_year,HR,pm25,race_group,Asian,2024,2024,234,1.3633911447485436,0.9821696765301078,1.8925807403724737,0.06396172976079426,2436,2436,263,1.2221058362848731,0.9074457184059036,1.6458754995342686,0.18665490260694345,412,412,29,-0.1412853084636705,-0.07472395812420418,-0.2467052408382051,0.1226931728461492,-10.362786131321721,FALSE,FALSE
baseline_prior_year,HR,o3,age_group,<18,11217,11217,1734,1.021413302642128,0.8721319880717601,1.19624684002355,0.7926881422025842,10641,10641,1692,1.0056476225072908,0.8575728478898003,1.1792900663111057,0.9447516679174512,-576,-576,-42,-0.015765680134837146,-0.014559140181959807,-0.016956773712444306,0.15206352571486703,-1.5435162332481323,FALSE,FALSE
baseline_prior_year,HR,o3,age_group,18-39,10888,10888,1104,1.0590835571256374,0.8635423096352874,1.2989033292967656,0.5814939857222845,10226,10226,1086,1.057998899823491,0.8599640152594789,1.3016378036352718,0.5938989164305488,-662,-662,-18,-0.0010846573021463524,-0.0035782943758085883,0.0027344743385062653,0.012404930708264317,-0.10241470513338014,FALSE,FALSE
baseline_prior_year,HR,o3,age_group,40-59,31995,31995,3873,1.0077632428622612,0.8986151902903604,1.130168691379571,0.8948098774773152,29893,29893,3797,0.9973763468509717,0.8876596868895464,1.1206542236288013,0.964758890196769,-2102,-2102,-76,-0.010386896011289504,-0.01095550340081397,-0.009514467750769695,0.06994901271945375,-1.0306881189463213,TRUE,FALSE
baseline_prior_year,HR,o3,age_group,60+,25281,25281,3531,0.9782012412015552,0.8646034103319876,1.1067243742663986,0.7263887893190573,23268,23268,3435,0.9608602036255524,0.8473258330608521,1.0896072029058896,0.5337239404330554,-2013,-2013,-96,-0.017341037576002805,-0.017277577271135547,-0.017117171360508943,-0.19266484888600188,-1.7727474517106767,FALSE,FALSE
baseline_prior_year,HR,o3,sex,Female,22764,22764,2811,0.9785209314476734,0.8590423872103203,1.114616958996222,0.7438207775725336,21247,21247,2747,0.9217980505884592,0.8077172430994507,1.0519914652410884,0.22703480445763993,-1517,-1517,-64,-0.056722880859214175,-0.051325144110869636,-0.0626254937551336,-0.5167859731148937,-5.796797905518025,FALSE,FALSE
baseline_prior_year,HR,o3,sex,Male,56617,56617,7431,1.019394696336867,0.939918202115369,1.1055914701736804,0.6427763481221049,52781,52781,7263,1.0205674811411083,0.9397073324140972,1.108385502204134,0.6288116558157051,-3836,-3836,-168,0.0011727848042413225,-2.108697012718208e-4,0.002794032030453586,-0.01396469230639985,0.11504717539296827,FALSE,FALSE
baseline_prior_year,HR,o3,race_group,White,56281,56281,7247,1.0357712869822835,0.955573716663438,1.1226995261892432,0.3926791010789205,52897,52897,7107,1.0268726010908782,0.9465693000935648,1.1139885254750137,0.5232946577931126,-3384,-3384,-140,-0.0088986858914053,-0.009004416569873275,-0.008711000714229478,0.13061555671419206,-0.8591361822098409,FALSE,FALSE
baseline_prior_year,HR,o3,race_group,Black,18894,18894,2545,0.9466793286143572,0.8094265702087721,1.1072057481317623,0.4929354278467342,17454,17454,2480,0.9092407529083486,0.7747180246569024,1.067122127583733,0.24413930540963216,-1440,-1440,-65,-0.037438575706008614,-0.03470854555186964,-0.040083620548029275,-0.24879612243710206,-3.95472622823686,FALSE,FALSE
baseline_prior_year,HR,o3,race_group,Asian,2660,2660,277,1.0124465409559544,0.7056129948676924,1.4527056697501457,0.946464152723712,2436,2436,263,0.948280940976254,0.6487094116878439,1.386193458607501,0.7839745530704372,-224,-224,-14,-0.0641655999797004,-0.05690358317984845,-0.0665122111426446,-0.1624895996532748,-6.3376778312774,TRUE,FALSE
baseline_prior_year,HR,no2,age_group,<18,11217,11217,1734,1.2912936002175577,1.1772247064673014,1.4164153647153652,6.03734412914371e-8,11217,11217,1734,1.335484379832154,1.2184789579279347,1.463725341477056,6.253865989789539e-10,0,0,0,0.04419077961459639,0.04125425146063333,0.047309976761690686,-5.974805469245814e-8,3.4222100695884494,FALSE,FALSE
baseline_prior_year,HR,no2,age_group,18-39,10888,10888,1104,1.0651349575412423,0.9467190202473342,1.1983624005779332,0.2939931443553451,10888,10888,1104,1.0988216080545925,0.9775470247312444,1.235141528520975,0.114249607427546,0,0,0,0.03368665051335018,0.03082800448391021,0.036779127943041834,-0.17974353692779912,3.162665000791298,FALSE,FALSE
baseline_prior_year,HR,no2,age_group,40-59,31995,31995,3873,1.183152472088594,1.1088386100025214,1.2624468155975994,3.745188909078757e-7,31995,31995,3873,1.2087926461978602,1.1332355833956145,1.2893873815043495,8.510573923212709e-9,0,0,0,0.025640174109266223,0.024396973393093102,0.02694056590675009,-3.66008316984663e-7,2.1671064984552846,FALSE,FALSE
baseline_prior_year,HR,no2,age_group,60+,25281,25281,3531,1.1066580655377452,1.0294828032085253,1.1896187777035443,0.00600002701193758,25281,25281,3531,1.1197863824074583,1.041575617128868,1.2038699078629087,0.00219384973374808,0,0,0,0.013128316869713164,0.012092813920342671,0.014251130159364411,-0.0038061772781895,1.1863029131165215,FALSE,FALSE
baseline_prior_year,HR,no2,sex,Female,22764,22764,2811,1.251488420324024,1.1617600425118326,1.3481469571106968,3.421962305485695e-9,22764,22764,2811,1.277722551938468,1.186699644596046,1.3757271498028312,8.049547719368313e-11,0,0,0,0.0262341316144441,0.02493960208421342,0.02758019269213441,-3.341466828292012e-9,2.096234466768121,FALSE,FALSE
baseline_prior_year,HR,no2,sex,Male,56617,56617,7431,1.1148213064502701,1.0632993753700872,1.1688397210643653,6.722679636494449e-6,56617,56617,7431,1.1381556231973255,1.0857088925249878,1.1931358686793463,7.59865617784422e-8,0,0,0,0.02333431674705544,0.022409517154900582,0.024296147614981,-6.646693074716007e-6,2.0930992807587145,FALSE,FALSE
baseline_prior_year,HR,no2,race_group,White,56281,56281,7247,1.1406420615080055,1.0877773807845004,1.196075902537072,5.4813314223267314e-8,56281,56281,7247,1.1731229614595644,1.1185460994491727,1.230362774839031,5.064546240806145e-11,0,0,0,0.032480899951558895,0.030768718664672345,0.034286872301958926,-5.4762668760859255e-8,2.847597949230196,FALSE,FALSE
baseline_prior_year,HR,no2,race_group,Black,18894,18894,2545,1.212057198654254,1.116825308642127,1.3154095286359129,4.096632853277858e-6,18894,18894,2545,1.220182983804659,1.126817722092592,1.3212842545656198,9.597121843327142e-7,0,0,0,0.008125785150404852,0.009992413450464976,0.005874725929706948,-3.1369206689451435e-6,0.6704126801463595,FALSE,FALSE
baseline_prior_year,HR,no2,race_group,Asian,2660,2660,277,1.071986066250905,0.8286069207683954,1.3868507460334032,0.5967684894580464,2660,2660,277,1.0273285745087144,0.7975539864837744,1.323301015214195,0.8346574100373279,0,0,0,-0.04465749174219069,-0.03105293428462097,-0.06354973081920812,0.23788892057928146,-4.165864944343256,FALSE,FALSE
baseline_prior_year,KI,pm25,age_group,<18,14631,14631,517,0.7211346100936128,0.5764023325181323,0.9022085729649746,0.00423205724660066,16636,16636,549,0.7639290450927901,0.6131361553364824,0.9518074914634838,0.01638511587329435,2005,2005,32,0.042794434999177344,0.036733822818350026,0.04959891849850917,0.012153058626693688,5.934319945290389,FALSE,FALSE
baseline_prior_year,KI,pm25,age_group,18-39,84570,84570,9490,0.7805166446729355,0.7424441184458344,0.8205415296261688,2.6826851094536356e-22,95454,95454,9834,0.7911676047772269,0.7530178750373363,0.8312500932569477,1.5450084042355024e-20,10884,10884,344,0.010650960104291451,0.010573756591501948,0.010708563630778878,1.5181815531409662e-20,1.3646038399033333,FALSE,FALSE
